"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"sjahs","300258669","sjahs","AAT Getty NL","300025481","koningen (personen)","http://vocab.getty.edu/aat/300258669","http://vocab.getty.edu/aat/300025481"
"industrieel archeologen","300025490","industrieel archeologen","AAT Getty NL","300025486","archeologen","http://vocab.getty.edu/aat/300025490","http://vocab.getty.edu/aat/300025486"
"runologen","300237588","runologen","AAT Getty NL","300025491","paleografen","http://vocab.getty.edu/aat/300237588","http://vocab.getty.edu/aat/300025491"
"accountants","300024982","accountants","AAT Getty NL","300024981","<personen in de boekhouding>","http://vocab.getty.edu/aat/300024982","http://vocab.getty.edu/aat/300024981"
"thesauriers","300025447","thesauriers","AAT Getty NL","300024982","accountants","http://vocab.getty.edu/aat/300025447","http://vocab.getty.edu/aat/300024982"
"onderbieders","300025000","onderbieders","AAT Getty NL","300024999","bieders","http://vocab.getty.edu/aat/300025000","http://vocab.getty.edu/aat/300024999"
"asfaltwerkers","300025003","asfaltwerkers","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025003","http://vocab.getty.edu/aat/300025001"
"hijsers","300025012","hijsers","AAT Getty NL","300025011","kraandrijvers (bouwvakkers)","http://vocab.getty.edu/aat/300025012","http://vocab.getty.edu/aat/300025011"
"banker masons","300025041","banker masons","AAT Getty NL","300025040","metselaars","http://vocab.getty.edu/aat/300025041","http://vocab.getty.edu/aat/300025040"
"delineators","300124714","delineators","AAT Getty NL","300025059","technisch tekenaars","http://vocab.getty.edu/aat/300124714","http://vocab.getty.edu/aat/300025059"
"waterbouwkundig ingenieurs","300025073","waterbouwkundig ingenieurs","AAT Getty NL","300025070","civiel ingenieurs","http://vocab.getty.edu/aat/300025073","http://vocab.getty.edu/aat/300025070"
"elektrotechnici","300253983","elektrotechnici","AAT Getty NL","300025079","elektrotechnische ingenieurs","http://vocab.getty.edu/aat/300253983","http://vocab.getty.edu/aat/300025079"
"onderhoudstechnici","300260850","onderhoudstechnici","AAT Getty NL","300025082","industrieel ingenieurs","http://vocab.getty.edu/aat/300260850","http://vocab.getty.edu/aat/300025082"
"architecten","300024987","architecten","AAT Getty NL","300025101","<personen in de visuele kunsten>","http://vocab.getty.edu/aat/300024987","http://vocab.getty.edu/aat/300025101"
"affichisten","300266026","affichisten","AAT Getty NL","300025113","collagekunstenaars","http://vocab.getty.edu/aat/300266026","http://vocab.getty.edu/aat/300025113"
"aquatint-etsers","300249564","aquatint-etsers","AAT Getty NL","300025174","etsers","http://vocab.getty.edu/aat/300249564","http://vocab.getty.edu/aat/300025174"
"chromolithografen","300251177","chromolithografen","AAT Getty NL","300025175","lithografen","http://vocab.getty.edu/aat/300251177","http://vocab.getty.edu/aat/300025175"
"product engineers","300025204","product engineers","AAT Getty NL","300025203","industrieel vormgevers","http://vocab.getty.edu/aat/300025204","http://vocab.getty.edu/aat/300025203"
"adverteerders","300252554","adverteerders","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300252554","http://vocab.getty.edu/aat/300025207"
"makelaars","300025215","makelaars","AAT Getty NL","300025213","zaakwaarnemers","http://vocab.getty.edu/aat/300025215","http://vocab.getty.edu/aat/300025213"
"effectenmakelaars","300025216","effectenmakelaars","AAT Getty NL","300025215","makelaars","http://vocab.getty.edu/aat/300025216","http://vocab.getty.edu/aat/300025215"
"fabrikanten","300025230","fabrikanten","AAT Getty NL","300025226","industriëlen","http://vocab.getty.edu/aat/300025230","http://vocab.getty.edu/aat/300025226"
"boekverkopers","300025244","boekverkopers","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300025244","http://vocab.getty.edu/aat/300025245"
"moedergodinnen","300412037","moedergodinnen","AAT Getty NL","300343852","godinnen","http://vocab.getty.edu/aat/300412037","http://vocab.getty.edu/aat/300343852"
"restauratoren","300102842","restauratoren","AAT Getty NL","300252020","<personen in interdisciplinaire vakgebieden>","http://vocab.getty.edu/aat/300102842","http://vocab.getty.edu/aat/300252020"
"hydrologen","300264404","hydrologen","AAT Getty NL","300254368","aardwetenschappers","http://vocab.getty.edu/aat/300264404","http://vocab.getty.edu/aat/300254368"
"hetmans","300236809","hetmans","AAT Getty NL","300236474","bevelvoerende officieren","http://vocab.getty.edu/aat/300236809","http://vocab.getty.edu/aat/300236474"
"keizers","300025480","keizers","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300025480","http://vocab.getty.edu/aat/300237007"
"bisschoppen","300025756","bisschoppen","AAT Getty NL","300237368","prelaten","http://vocab.getty.edu/aat/300025756","http://vocab.getty.edu/aat/300237368"
"militair personeel","300025450","militair personeel","AAT Getty NL","300237630","<personen in militaire beroepen>","http://vocab.getty.edu/aat/300025450","http://vocab.getty.edu/aat/300237630"
"kanunniken","300025757","kanunniken","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300025757","http://vocab.getty.edu/aat/300239152"
"imams","300146325","imams","AAT Getty NL","300239154","islamitische geestelijken","http://vocab.getty.edu/aat/300146325","http://vocab.getty.edu/aat/300239154"
