"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"galeriehouders","300131106","galeriehouders","AAT Getty NL","300025431","directeuren","http://vocab.getty.edu/aat/300131106","http://vocab.getty.edu/aat/300025431"
"presidenten","300025470","presidenten","AAT Getty NL","300025432","leidinggevenden","http://vocab.getty.edu/aat/300025470","http://vocab.getty.edu/aat/300025432"
"agenten","300136406","agenten","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300136406","http://vocab.getty.edu/aat/300025457"
"congresleden","300136445","Congresleden","AAT Getty NL","300025466","wetgevers","http://vocab.getty.edu/aat/300136445","http://vocab.getty.edu/aat/300025466"
"pretoren","300247693","pretoren","AAT Getty NL","300025467","magistraten","http://vocab.getty.edu/aat/300247693","http://vocab.getty.edu/aat/300025467"
"paltsgraven","300237245","paltsgraven","AAT Getty NL","300025472","onderkoningen","http://vocab.getty.edu/aat/300237245","http://vocab.getty.edu/aat/300025472"
"godinnen","300343852","godinnen","AAT Getty NL","300343850","godheden","http://vocab.getty.edu/aat/300343852","http://vocab.getty.edu/aat/300343850"
"rijtuigschilders","300260816","rijtuigschilders","AAT Getty NL","300260891","<schilders naar locatie of context>","http://vocab.getty.edu/aat/300260816","http://vocab.getty.edu/aat/300260891"
"rentmeesters","300259204","kasteleins (rentmeesters)","AAT Getty NL","300236284","rentmeesters","http://vocab.getty.edu/aat/300259204","http://vocab.getty.edu/aat/300236284"
"kasteleins","300259204","kasteleins (rentmeesters)","AAT Getty NL","300236284","rentmeesters","http://vocab.getty.edu/aat/300259204","http://vocab.getty.edu/aat/300236284"
"keizerinnen","300150492","keizerinnen","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300150492","http://vocab.getty.edu/aat/300237007"
"soldaten","300185678","soldaten","AAT Getty NL","300237630","<personen in militaire beroepen>","http://vocab.getty.edu/aat/300185678","http://vocab.getty.edu/aat/300237630"
"politieagenten","300025867","politieagenten","AAT Getty NL","300239083","<personen in beveiligings- en beschermingsberoepen>","http://vocab.getty.edu/aat/300025867","http://vocab.getty.edu/aat/300239083"
"aalmoezeniers","300025759","aalmoezeniers","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300025759","http://vocab.getty.edu/aat/300239152"
"mollahs","300025767","mollahs","AAT Getty NL","300239154","islamitische geestelijken","http://vocab.getty.edu/aat/300025767","http://vocab.getty.edu/aat/300239154"
"wichelaars","300207878","wichelaars","AAT Getty NL","300239172","<personen in de occulte wetenschappen>","http://vocab.getty.edu/aat/300207878","http://vocab.getty.edu/aat/300239172"
"ondernemers","300025222","ondernemers","AAT Getty NL","300239179","zakenmensen","http://vocab.getty.edu/aat/300025222","http://vocab.getty.edu/aat/300239179"
"procurators","300025471","procurators","AAT Getty NL","300239192","<overheidsfunctionarissen naar activiteit>","http://vocab.getty.edu/aat/300025471","http://vocab.getty.edu/aat/300239192"
"pianisten","300235018","pianisten","AAT Getty NL","300234981","instrumentalisten: toetseninstrumenten","http://vocab.getty.edu/aat/300235018","http://vocab.getty.edu/aat/300234981"
"klarinettisten","300235050","klarinettisten","AAT Getty NL","300234984","instrumentalisten: blaasinstrumenten","http://vocab.getty.edu/aat/300235050","http://vocab.getty.edu/aat/300234984"
"tuiniers","300025614","tuiniers","AAT Getty NL","300230848","<personen in de landbouw>","http://vocab.getty.edu/aat/300025614","http://vocab.getty.edu/aat/300230848"
"impresario's","300236867","impresario's","AAT Getty NL","300197742","producers","http://vocab.getty.edu/aat/300236867","http://vocab.getty.edu/aat/300197742"
"mobeds","300264500","mobeds","AAT Getty NL","300188718","magiërs","http://vocab.getty.edu/aat/300264500","http://vocab.getty.edu/aat/300188718"
"herauten","300236032","herauten","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300236032","http://vocab.getty.edu/aat/300189710"
"hellebaardiers","300343685","hellebaardiers","AAT Getty NL","300185678","soldaten","http://vocab.getty.edu/aat/300343685","http://vocab.getty.edu/aat/300185678"
"mandenvlechters","300025394","mandenvlechters","AAT Getty NL","300168308","<personen in ambachten en beroepen naar product>","http://vocab.getty.edu/aat/300025394","http://vocab.getty.edu/aat/300168308"
"hoedenmakers","300025354","hoedenmakers","AAT Getty NL","300168309","<textielwerkers naar product>","http://vocab.getty.edu/aat/300025354","http://vocab.getty.edu/aat/300168309"
"kunstcritici","300168235","kunstcritici","AAT Getty NL","300168332","<personen in beroepen met betrekking tot de kunsten>","http://vocab.getty.edu/aat/300168235","http://vocab.getty.edu/aat/300168332"
"aannemers","300025052","aannemers","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025052","http://vocab.getty.edu/aat/300168334"
"mohels","300136756","mohels","AAT Getty NL","300168335","personen in beroepen met betrekking tot religie","http://vocab.getty.edu/aat/300136756","http://vocab.getty.edu/aat/300168335"
"epigrafische deskundigen","300025489","epigrafische deskundigen","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300025489","http://vocab.getty.edu/aat/300168378"
"onderwijzers","300025527","onderwijzers","AAT Getty NL","300168393","<personen in beroepen met betrekking tot sociale wetenschappen>","http://vocab.getty.edu/aat/300025527","http://vocab.getty.edu/aat/300168393"
"geestelijken","300025747","geestelijken","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300025747","http://vocab.getty.edu/aat/300168457"
"samenstellers","300121766","samenstellers","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300121766","http://vocab.getty.edu/aat/300171575"
"tandartsen","300025808","tandartsen","AAT Getty NL","300155832","<personen in de gezondheidszorg en geneeskunde>","http://vocab.getty.edu/aat/300025808","http://vocab.getty.edu/aat/300155832"
"kwekers","300112039","kwekers","AAT Getty NL","300112031","hoveniers","http://vocab.getty.edu/aat/300112039","http://vocab.getty.edu/aat/300112031"
"journalisten","300025501","journalisten","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300025501","http://vocab.getty.edu/aat/300103043"
"clowns","300025660","clowns","AAT Getty NL","300068931","uitvoerend kunstenaars","http://vocab.getty.edu/aat/300025660","http://vocab.getty.edu/aat/300068931"
"hoofdmannen","300025445","hoofdmannen","AAT Getty NL","300025475","heersers","http://vocab.getty.edu/aat/300025445","http://vocab.getty.edu/aat/300025475"
"kroniekschrijvers","300025496","kroniekschrijvers","AAT Getty NL","300025492","auteurs","http://vocab.getty.edu/aat/300025496","http://vocab.getty.edu/aat/300025492"
"verslaggevers","300025508","verslaggevers","AAT Getty NL","300025501","journalisten","http://vocab.getty.edu/aat/300025508","http://vocab.getty.edu/aat/300025501"
"rechtbankverslaggevers","300136440","rechtbankverslaggevers","AAT Getty NL","300025508","verslaggevers","http://vocab.getty.edu/aat/300136440","http://vocab.getty.edu/aat/300025508"
"rectors","300136488","rectors (onderwijspersoneel)","AAT Getty NL","300025527","onderwijzers","http://vocab.getty.edu/aat/300136488","http://vocab.getty.edu/aat/300025527"
"professoren","300025533","professoren","AAT Getty NL","300025529","leraren","http://vocab.getty.edu/aat/300025533","http://vocab.getty.edu/aat/300025529"
"krijgshistorici","300249365","krijgshistorici","AAT Getty NL","300025539","historici","http://vocab.getty.edu/aat/300249365","http://vocab.getty.edu/aat/300025539"
"bibliothecarissen","300025555","bibliothecarissen","AAT Getty NL","300025550","informatiewetenschappers","http://vocab.getty.edu/aat/300025555","http://vocab.getty.edu/aat/300025550"
"studiezaalmedewerkers","300050479","studiezaalmedewerkers","AAT Getty NL","300025555","bibliothecarissen","http://vocab.getty.edu/aat/300050479","http://vocab.getty.edu/aat/300025555"
"ethici","300253316","ethici","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300253316","http://vocab.getty.edu/aat/300025569"
"fysische antropologen","300025588","fysische antropologen","AAT Getty NL","300025583","antropologen","http://vocab.getty.edu/aat/300025588","http://vocab.getty.edu/aat/300025583"
"topografen","300236204","topografen","AAT Getty NL","300025592","geografen","http://vocab.getty.edu/aat/300236204","http://vocab.getty.edu/aat/300025592"
"tuintherapeuten","300261796","tuintherapeuten","AAT Getty NL","300025598","therapeuten","http://vocab.getty.edu/aat/300261796","http://vocab.getty.edu/aat/300025598"
"boswachters","300025609","boswachters","AAT Getty NL","300025603","<personen in de landbouw en natuurlijke hulpbronnen>","http://vocab.getty.edu/aat/300025609","http://vocab.getty.edu/aat/300025603"
"juristen","300236907","juristen","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300236907","http://vocab.getty.edu/aat/300025622"
"openbare aanklagers","300136491","openbare aanklagers","AAT Getty NL","300025627","advocaten","http://vocab.getty.edu/aat/300136491","http://vocab.getty.edu/aat/300025627"
"museumgidsen","300025636","museumgidsen (personen)","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300025636","http://vocab.getty.edu/aat/300025631"
"choreografen","300025649","choreografen","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300025649","http://vocab.getty.edu/aat/300025645"
"componisten","300025671","componisten","AAT Getty NL","300025666","musici","http://vocab.getty.edu/aat/300025671","http://vocab.getty.edu/aat/300025666"
"koorleiders","300252053","koorleiders","AAT Getty NL","300025672","dirigenten","http://vocab.getty.edu/aat/300252053","http://vocab.getty.edu/aat/300025672"
"daguerreotypiefotografen","300236578","daguerreotypiefotografen","AAT Getty NL","300025687","fotografen","http://vocab.getty.edu/aat/300236578","http://vocab.getty.edu/aat/300025687"
"inkleurders","300025706","inkleurders","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025706","http://vocab.getty.edu/aat/300025701"
"monniken","300025765","monniken","AAT Getty NL","300025783","religieuzen","http://vocab.getty.edu/aat/300025765","http://vocab.getty.edu/aat/300025783"
"geometristen","300264411","geometristen","AAT Getty NL","300025786","wiskundigen","http://vocab.getty.edu/aat/300264411","http://vocab.getty.edu/aat/300025786"
"chemici","300025793","chemici","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300025793","http://vocab.getty.edu/aat/300025788"
"ornithologen","300237244","ornithologen","AAT Getty NL","300025792","zoölogen","http://vocab.getty.edu/aat/300237244","http://vocab.getty.edu/aat/300025792"
"mineralogen","300025801","mineralogen","AAT Getty NL","300025799","geologen","http://vocab.getty.edu/aat/300025801","http://vocab.getty.edu/aat/300025799"
"mathematisch fysici","300264495","mathematisch fysici","AAT Getty NL","300025816","natuurkundigen","http://vocab.getty.edu/aat/300264495","http://vocab.getty.edu/aat/300025816"
"halfgeschoolde arbeiders","300025892","halfgeschoolde arbeiders","AAT Getty NL","300025886","arbeiders","http://vocab.getty.edu/aat/300025892","http://vocab.getty.edu/aat/300025886"
"auditors","300024984","auditors","AAT Getty NL","300024981","<personen in de boekhouding>","http://vocab.getty.edu/aat/300024984","http://vocab.getty.edu/aat/300024981"
"botenbouwers","300264548","botenbouwers","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300264548","http://vocab.getty.edu/aat/300025001"
"fixer masons","300025044","fixer masons","AAT Getty NL","300025040","metselaars","http://vocab.getty.edu/aat/300025044","http://vocab.getty.edu/aat/300025040"
"hoofdaannemers","300025055","hoofdaannemers","AAT Getty NL","300025052","aannemers","http://vocab.getty.edu/aat/300025055","http://vocab.getty.edu/aat/300025052"
"biotechnici","300250637","biotechnici","AAT Getty NL","300025063","ingenieurs","http://vocab.getty.edu/aat/300250637","http://vocab.getty.edu/aat/300025063"
"stedenbouwkundigen","300264668","stedenbouwkundigen","AAT Getty NL","300025090","planologen","http://vocab.getty.edu/aat/300264668","http://vocab.getty.edu/aat/300025090"
"kunstenaars","300025103","kunstenaars","AAT Getty NL","300025101","<personen in de visuele kunsten>","http://vocab.getty.edu/aat/300025103","http://vocab.getty.edu/aat/300025101"
"textielschilders","300264753","textielschilders","AAT Getty NL","300025143","<schilders naar techniek, instrument of gebruikt materiaal>","http://vocab.getty.edu/aat/300264753","http://vocab.getty.edu/aat/300025143"
"etsers","300025174","etsers","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300025174","http://vocab.getty.edu/aat/300025164"
"expositieontwerpers","300025195","expositieontwerpers","AAT Getty NL","300025190","ontwerpers","http://vocab.getty.edu/aat/300025195","http://vocab.getty.edu/aat/300025190"
"inkopers","300252561","inkopers","AAT Getty NL","300025213","zaakwaarnemers","http://vocab.getty.edu/aat/300252561","http://vocab.getty.edu/aat/300025213"
"visverkopers","300265789","visverkopers","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300265789","http://vocab.getty.edu/aat/300025245"
"straatventers","300247690","straatventers","AAT Getty NL","300025246","detailhandelaars","http://vocab.getty.edu/aat/300247690","http://vocab.getty.edu/aat/300025246"
"wichelroedelopers","300264524","wichelroedelopers","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300264524","http://vocab.getty.edu/aat/300025254"
"teocuitlapitzqueh","300404919","teocuitlapitzqueh","AAT Getty NL","300025257","gieters (personen)","http://vocab.getty.edu/aat/300404919","http://vocab.getty.edu/aat/300025257"
"keramisten","300025388","keramisten","AAT Getty NL","300025281","<personen in ambachten en beroepen naar materiaal>","http://vocab.getty.edu/aat/300025388","http://vocab.getty.edu/aat/300025281"
"glasmakers","300025285","glasmakers","AAT Getty NL","300025283","glaswerkers","http://vocab.getty.edu/aat/300025285","http://vocab.getty.edu/aat/300025283"
"afwerkers","300025291","afwerkers (leerbewerkers)","AAT Getty NL","300025288","leerbewerkers","http://vocab.getty.edu/aat/300025291","http://vocab.getty.edu/aat/300025288"
"bronswerkers","300025316","bronswerkers","AAT Getty NL","300025312","<metaalwerkers naar type metaal>","http://vocab.getty.edu/aat/300025316","http://vocab.getty.edu/aat/300025312"
"klokkengieters","300025331","klokkengieters","AAT Getty NL","300025326","<metaalwerkers naar product>","http://vocab.getty.edu/aat/300025331","http://vocab.getty.edu/aat/300025326"
"repairers","300263613","repairers","AAT Getty NL","300025388","keramisten","http://vocab.getty.edu/aat/300263613","http://vocab.getty.edu/aat/300025388"
"managers","300025435","managers","AAT Getty NL","300025427","bestuurders","http://vocab.getty.edu/aat/300025435","http://vocab.getty.edu/aat/300025427"
"consuls","300025461","consuls","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300025461","http://vocab.getty.edu/aat/300025457"
"parlementsleden","300025469","parlementsleden","AAT Getty NL","300025466","wetgevers","http://vocab.getty.edu/aat/300025469","http://vocab.getty.edu/aat/300025466"
"regenten","300150511","regenten","AAT Getty NL","300025472","onderkoningen","http://vocab.getty.edu/aat/300150511","http://vocab.getty.edu/aat/300025472"
"oceanografen","300136483","oceanografen","AAT Getty NL","300254368","aardwetenschappers","http://vocab.getty.edu/aat/300136483","http://vocab.getty.edu/aat/300254368"
"gitaristen","300235042","gitaristen","AAT Getty NL","300234983","instrumentalisten: snaarinstrumenten","http://vocab.getty.edu/aat/300235042","http://vocab.getty.edu/aat/300234983"
"fluitisten","300235053","fluitisten","AAT Getty NL","300234984","instrumentalisten: blaasinstrumenten","http://vocab.getty.edu/aat/300235053","http://vocab.getty.edu/aat/300234984"
"kolonels","300236410","kolonels","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236410","http://vocab.getty.edu/aat/300236210"
"kaisers","300264269","kaisers","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300264269","http://vocab.getty.edu/aat/300237007"
"krijgers","300261945","krijgers","AAT Getty NL","300237630","<personen in militaire beroepen>","http://vocab.getty.edu/aat/300261945","http://vocab.getty.edu/aat/300237630"
"koetsiers","300410345","koetsiers","AAT Getty NL","300239090","<personen in vervoersberoepen>","http://vocab.getty.edu/aat/300410345","http://vocab.getty.edu/aat/300239090"
"chorepiscopi","300264470","chorepiscopi","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300264470","http://vocab.getty.edu/aat/300239152"
"tovenaars","300252822","tovenaars (personen in het occulte)","AAT Getty NL","300239172","<personen in de occulte wetenschappen>","http://vocab.getty.edu/aat/300252822","http://vocab.getty.edu/aat/300239172"
"partners","300025231","partners","AAT Getty NL","300239179","zakenmensen","http://vocab.getty.edu/aat/300025231","http://vocab.getty.edu/aat/300239179"
"belastingontvangers","300136497","belastingontvangers","AAT Getty NL","300239192","<overheidsfunctionarissen naar activiteit>","http://vocab.getty.edu/aat/300136497","http://vocab.getty.edu/aat/300239192"
"stalknechten","300404796","stalknechten","AAT Getty NL","300230848","<personen in de landbouw>","http://vocab.getty.edu/aat/300404796","http://vocab.getty.edu/aat/300230848"
"provosts","300237375","provosts","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300237375","http://vocab.getty.edu/aat/300189710"
"kantklossers","300025358","kantklossers","AAT Getty NL","300168309","<textielwerkers naar product>","http://vocab.getty.edu/aat/300025358","http://vocab.getty.edu/aat/300168309"
"kunsthistorici","300025541","kunsthistorici","AAT Getty NL","300168332","<personen in beroepen met betrekking tot de kunsten>","http://vocab.getty.edu/aat/300025541","http://vocab.getty.edu/aat/300168332"
"ontwikkelaars","300025058","ontwikkelaars","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025058","http://vocab.getty.edu/aat/300168334"
"godsdienstethici","300253321","godsdienstethici","AAT Getty NL","300168335","personen in beroepen met betrekking tot religie","http://vocab.getty.edu/aat/300253321","http://vocab.getty.edu/aat/300168335"
"genealogen","300112028","genealogen","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300112028","http://vocab.getty.edu/aat/300168378"
"grafologen","300025538","grafologen","AAT Getty NL","300168393","<personen in beroepen met betrekking tot sociale wetenschappen>","http://vocab.getty.edu/aat/300025538","http://vocab.getty.edu/aat/300168393"
"kruisdragers","300411988","kruisdragers","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300411988","http://vocab.getty.edu/aat/300168457"
"critici","300025519","critici","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300025519","http://vocab.getty.edu/aat/300171575"
"demografen","300025590","demografen","AAT Getty NL","300171580","sociale wetenschappers","http://vocab.getty.edu/aat/300025590","http://vocab.getty.edu/aat/300171580"
"piccolo's","300160357","piccolo's (personeel)","AAT Getty NL","300174088","<personen in dienstverlenende beroepen>","http://vocab.getty.edu/aat/300160357","http://vocab.getty.edu/aat/300174088"
"kindermeisjes","300410314","kindermeisjes","AAT Getty NL","300136452","dienstbodes","http://vocab.getty.edu/aat/300410314","http://vocab.getty.edu/aat/300136452"
"publiciteitsagenten","300237376","publiciteitsagenten","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300237376","http://vocab.getty.edu/aat/300103043"
"komedianten","300025661","komedianten","AAT Getty NL","300068931","uitvoerend kunstenaars","http://vocab.getty.edu/aat/300025661","http://vocab.getty.edu/aat/300068931"
"modeontwerpers","300025198","modeontwerpers","AAT Getty NL","300025190","ontwerpers","http://vocab.getty.edu/aat/300025198","http://vocab.getty.edu/aat/300025190"
"taxateurs","300025829","taxateurs","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300025829","http://vocab.getty.edu/aat/300025207"
"makelaars in onroerend goed","300025218","makelaars in onroerend goed","AAT Getty NL","300025213","zaakwaarnemers","http://vocab.getty.edu/aat/300025218","http://vocab.getty.edu/aat/300025213"
"verkopers van herenmodeartikelen","300264332","verkopers van herenmodeartikelen","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300264332","http://vocab.getty.edu/aat/300025245"
"insnijders","300239410","graveurs (insnijders)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300239410","http://vocab.getty.edu/aat/300025254"
"graveurs","300239410","graveurs (insnijders)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300239410","http://vocab.getty.edu/aat/300025254"
"ivoorsnijders","300378950","ivoorsnijders","AAT Getty NL","300025256","beeldsnijders","http://vocab.getty.edu/aat/300378950","http://vocab.getty.edu/aat/300025256"
"emailleerders","300025258","emailleerders","AAT Getty NL","300025281","<personen in ambachten en beroepen naar materiaal>","http://vocab.getty.edu/aat/300025258","http://vocab.getty.edu/aat/300025281"
"onthaarders","300025292","onthaarders","AAT Getty NL","300025288","leerbewerkers","http://vocab.getty.edu/aat/300025292","http://vocab.getty.edu/aat/300025288"
"metaalwerkers","300025304","stokers (metaalwerkers)","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300025304","http://vocab.getty.edu/aat/300025300"
"stokers","300025304","stokers (metaalwerkers)","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300025304","http://vocab.getty.edu/aat/300025300"
"kopersmeden","300025318","kopersmeden","AAT Getty NL","300025312","<metaalwerkers naar type metaal>","http://vocab.getty.edu/aat/300025318","http://vocab.getty.edu/aat/300025312"
"naaldwerkers","300252058","naaldwerkers","AAT Getty NL","300025349","textielwerkers","http://vocab.getty.edu/aat/300252058","http://vocab.getty.edu/aat/300025349"
"houtsnijders","300025382","houtsnijders (houtbewerkers)","AAT Getty NL","300025368","houtbewerkers","http://vocab.getty.edu/aat/300025382","http://vocab.getty.edu/aat/300025368"
"houtbewerkers","300025382","houtsnijders (houtbewerkers)","AAT Getty NL","300025368","houtbewerkers","http://vocab.getty.edu/aat/300025382","http://vocab.getty.edu/aat/300025368"
"schrijnwerkers","300025376","schrijnwerkers","AAT Getty NL","300025401","meubelmakers","http://vocab.getty.edu/aat/300025376","http://vocab.getty.edu/aat/300025401"
"commissarissen","300025446","commissarissen","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300025446","http://vocab.getty.edu/aat/300025426"
"functionarissen","300189710","functionarissen","AAT Getty NL","300025427","bestuurders","http://vocab.getty.edu/aat/300189710","http://vocab.getty.edu/aat/300025427"
"superintendents","300025436","superintendents","AAT Getty NL","300025432","leidinggevenden","http://vocab.getty.edu/aat/300025436","http://vocab.getty.edu/aat/300025432"
"gouverneurs","300025465","gouverneurs","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300025465","http://vocab.getty.edu/aat/300025457"
"senatoren","300150603","senatoren","AAT Getty NL","300025466","wetgevers","http://vocab.getty.edu/aat/300150603","http://vocab.getty.edu/aat/300025466"
"literatoren","300410358","literatoren","AAT Getty NL","300025492","auteurs","http://vocab.getty.edu/aat/300410358","http://vocab.getty.edu/aat/300025492"
"leraren","300025529","leraren","AAT Getty NL","300025527","onderwijzers","http://vocab.getty.edu/aat/300025529","http://vocab.getty.edu/aat/300025527"
"tutors","300025534","tutors","AAT Getty NL","300025529","leraren","http://vocab.getty.edu/aat/300025534","http://vocab.getty.edu/aat/300025529"
"beoefenaars van oral history","300260269","beoefenaars van oral history","AAT Getty NL","300025539","historici","http://vocab.getty.edu/aat/300260269","http://vocab.getty.edu/aat/300025539"
"speciale bibliothecarissen","300025560","speciale bibliothecarissen","AAT Getty NL","300025555","bibliothecarissen","http://vocab.getty.edu/aat/300025560","http://vocab.getty.edu/aat/300025555"
"fonetici","300252092","fonetici","AAT Getty NL","300025561","linguisten","http://vocab.getty.edu/aat/300252092","http://vocab.getty.edu/aat/300025561"
"logici","300025571","logici","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300025571","http://vocab.getty.edu/aat/300025569"
"sociaal antropologen","300025584","sociaal antropologen","AAT Getty NL","300025583","antropologen","http://vocab.getty.edu/aat/300025584","http://vocab.getty.edu/aat/300025583"
"bezigheidstherapeuten","300189306","bezigheidstherapeuten","AAT Getty NL","300025598","therapeuten","http://vocab.getty.edu/aat/300189306","http://vocab.getty.edu/aat/300025598"
"jachtopzichters","300136455","jachtopzichters","AAT Getty NL","300025603","<personen in de landbouw en natuurlijke hulpbronnen>","http://vocab.getty.edu/aat/300136455","http://vocab.getty.edu/aat/300025603"
"juryleden","300025626","juryleden","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300025626","http://vocab.getty.edu/aat/300025622"
"procureurs","300025630","procureurs","AAT Getty NL","300025627","advocaten","http://vocab.getty.edu/aat/300025630","http://vocab.getty.edu/aat/300025627"
"tentoonstellingsmakers","300417893","curators (tentoonstellingsmakers)","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300417893","http://vocab.getty.edu/aat/300025631"
"curators","300417893","curators (tentoonstellingsmakers)","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300417893","http://vocab.getty.edu/aat/300025631"
"costumiers","300025651","costumiers","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300025651","http://vocab.getty.edu/aat/300025645"
"dirigenten","300025672","dirigenten","AAT Getty NL","300025666","musici","http://vocab.getty.edu/aat/300025672","http://vocab.getty.edu/aat/300025666"
"zetters","300025708","zetters","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025708","http://vocab.getty.edu/aat/300025701"
"nonnen","300025770","nonnen","AAT Getty NL","300025783","religieuzen","http://vocab.getty.edu/aat/300025770","http://vocab.getty.edu/aat/300025783"
"statistici","300025787","statistici","AAT Getty NL","300025786","wiskundigen","http://vocab.getty.edu/aat/300025787","http://vocab.getty.edu/aat/300025786"
"computerwetenschappers","300236481","computerwetenschappers","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300236481","http://vocab.getty.edu/aat/300025788"
"fotochemici","300252049","fotochemici","AAT Getty NL","300025793","chemici","http://vocab.getty.edu/aat/300252049","http://vocab.getty.edu/aat/300025793"
"paleontologen","300025802","paleontologen","AAT Getty NL","300025799","geologen","http://vocab.getty.edu/aat/300025802","http://vocab.getty.edu/aat/300025799"
"kernfysici","300237209","kernfysici","AAT Getty NL","300025816","natuurkundigen","http://vocab.getty.edu/aat/300237209","http://vocab.getty.edu/aat/300025816"
"geschoolde arbeiders","300025893","geschoolde arbeiders","AAT Getty NL","300025886","arbeiders","http://vocab.getty.edu/aat/300025893","http://vocab.getty.edu/aat/300025886"
"boekhouders","300024985","boekhouders","AAT Getty NL","300024981","<personen in de boekhouding>","http://vocab.getty.edu/aat/300024985","http://vocab.getty.edu/aat/300024981"
"boorders","300025006","boorders","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025006","http://vocab.getty.edu/aat/300025001"
"bouwvakkers","300264586","vrijmetselaars (bouwvakkers)","AAT Getty NL","300025040","metselaars","http://vocab.getty.edu/aat/300264586","http://vocab.getty.edu/aat/300025040"
"vrijmetselaars","300264586","vrijmetselaars (bouwvakkers)","AAT Getty NL","300025040","metselaars","http://vocab.getty.edu/aat/300264586","http://vocab.getty.edu/aat/300025040"
"scheikundig ingenieurs","300025069","scheikundig ingenieurs","AAT Getty NL","300025063","ingenieurs","http://vocab.getty.edu/aat/300025069","http://vocab.getty.edu/aat/300025063"
"stadsplanologen","300025091","stadsplanologen","AAT Getty NL","300025090","planologen","http://vocab.getty.edu/aat/300025091","http://vocab.getty.edu/aat/300025090"
"beschermgoden","300412150","beschermgoden","AAT Getty NL","300343850","godheden","http://vocab.getty.edu/aat/300412150","http://vocab.getty.edu/aat/300343850"
"bodemkundigen","300254351","bodemkundigen","AAT Getty NL","300254368","aardwetenschappers","http://vocab.getty.edu/aat/300254351","http://vocab.getty.edu/aat/300254368"
