"literal","code","standard","contributor","broader_uri","broader_term","uri"
"princesses","300155241","princesses","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300155241"
"taxidermists","300386336","taxidermists","AAT Getty","http://vocab.getty.edu/aat/300025254","<people in crafts and trades by activity>","http://vocab.getty.edu/aat/300386336"
"porcelain makers","300386311","porcelain makers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300386311"
"treasurers","300417552","treasurers","AAT Getty","http://vocab.getty.edu/aat/300025426","<people in government and administration>","http://vocab.getty.edu/aat/300417552"
"financiers","300025224","financiers","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025224"
"pipelayers","300025027","pipelayers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025027"
"tendedores de tuberías","300025027","tendedores de tuberías","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025027"
"pipe-layers","300025027","pipe-layers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025027"
"newsboys","300386101","newsboys","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300386101"
"religious leaders","300386283","religious leaders","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300386283"
"distillers","300411549","distillers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300411549"
"enamel artists","300435208","enamel artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300435208"
"history artists","300386215","history artists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300386215"
"satraps","300389767","satraps","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300389767"
"turners","300025381","turners","AAT Getty","http://vocab.getty.edu/aat/300025254","<people in crafts and trades by activity>","http://vocab.getty.edu/aat/300025381"
"quillworkers","300265515","quillworkers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300265515"
"plasterers","300025028","plasterers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025028"
"nyais","300262597","nyais","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300262597"
"sages","300412068","sages","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300412068"
"dollhouse makers","300386287","dollhouse makers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300386287"
"environmental artists","300130970","environmental artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300130970"
"imagineros (sculptors)","300311327","imagineros (sculptors)","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300311327"
"sheikhs","300389768","sheikhs","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300389768"
"scrimshanders (people)","300263286","scrimshanders (people)","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300263286"
"funeral directors","300389799","funeral directors","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300389799"
"plumbers","300025030","plumbers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025030"
"packers","300025866","packers","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300025866"
"servers (people, ecclesiastical)","300386323","servers (people, ecclesiastical)","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300386323"
"dollmakers","300025399","dollmakers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025399"
"doll-makers","300025399","doll-makers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025399"
"fiber artists","300156125","fiber artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300156125"
"fibre artists","300156125","fibre artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300156125"
"impressionists (artists)","300389789","Impressionists (artists)","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300389789"
"riveters","300025278","riveters","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025278"
"shoguns","300395652","shoguns","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300395652"
"stainers","300386200","stainers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300386200"
"gallerists","300379169","gallerists","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300379169"
"porters (baggage carriers)","300025868","porters (baggage carriers)","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300025868"
"shamans","300218522","shamans","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300218522"
"fan makers","300386339","fan makers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300386339"
"folk artists","300025134","folk artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300025134"
"landscapists","300236992","landscapists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300236992"
"stadtholders","300395667","stadtholders","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300395667"
"textile workers","300025349","textile workers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025349"
"hotelkeepers","300136478","hotelkeepers","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300136478"
"hotel-keepers","300136478","hotel-keepers","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300136478"
"roofers","300025033","roofers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025033"
"prostitutes","300189023","prostitutes","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300189023"
"souls","300379821","souls","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300379821"
"feltmakers","300265667","feltmakers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300265667"
"glass artists","300435183","glass artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300435183"
"limners","300025135","limners","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300025135"
"suzerains (people)","300387670","suzerains (people)","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300387670"
"veneerers","300025280","veneerers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025280"
"huissiers-priseurs","300412174","huissiers-priseurs","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300412174"
"scaffolders","300025035","scaffolders","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025035"
"repairmen","300025869","repairmen","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300025869"
"repair-men","300025869","repair-men","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300025869"
"spirits (beings)","300379007","spirits (beings)","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300379007"
"flower makers","300435158","flower makers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300435158"
"graphic artists","300264850","graphic artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300264850"
"literati (painters)","300264837","literati (painters)","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300264837"
"tecuhtli","300417735","tecuhtli","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300417735"
"woodworkers","300025368","woodworkers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025368"
"wood-workers","300025368","wood-workers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025368"
"importers","300025225","importers","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025225"
"shipbuilders","300025424","shipbuilders","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025424"
"servants","300025874","servants","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300025874"
"supernatural beings","300412072","supernatural beings","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300412072"
"furniture workers","300025401","furniture workers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025401"
"illuminators (manuscript artists)","300025122","illuminators (manuscript artists)","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300025122"
"mapmakers","300389858","mapmakers","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300389858"
"tetrarchs","300395657","tetrarchs","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300395657"
"industrialists","300025226","industrialists","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025226"
"shorers","300025036","shorers","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025036"
"servers (people, restaurant)","300238451","servers (people, restaurant)","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300238451"
"theologians","300025784","theologians","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300025784"
"glovers (people)","300025293","glovers (people)","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025293"
"illustrators","300025123","illustrators","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300025123"
"marine artists","300386216","marine artists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300386216"
"tlahtohqueh","300404942","tlahtohqueh","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300404942"
"investment counsels","300025227","investment counsels","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025227"
"investment advisers","300025227","investment advisers","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300025227"
