"literal","code","standard","contributor","broader_uri","broader_term","uri"
"shinshoku","300435350","shinshoku","AAT Getty","http://vocab.getty.edu/aat/300435567","Shinto clergy","http://vocab.getty.edu/aat/300435350"
"altarpiece makers","300435121","altarpiece makers","AAT Getty","http://vocab.getty.edu/aat/300435119","altarpiece artists","http://vocab.getty.edu/aat/300435121"
"glass engravers","300435185","glass engravers","AAT Getty","http://vocab.getty.edu/aat/300435183","glass artists","http://vocab.getty.edu/aat/300435185"
"goldbeaters","300264832","goldbeaters","AAT Getty","http://vocab.getty.edu/aat/300435189","gold workers","http://vocab.getty.edu/aat/300264832"
"silversmiths","300025323","silversmiths","AAT Getty","http://vocab.getty.edu/aat/300435190","silver workers","http://vocab.getty.edu/aat/300025323"
"iron cutters","300435164","iron cutters","AAT Getty","http://vocab.getty.edu/aat/300435191","iron workers","http://vocab.getty.edu/aat/300435164"
"iron sculptors","300435169","iron sculptors","AAT Getty","http://vocab.getty.edu/aat/300435234","metal sculptors","http://vocab.getty.edu/aat/300435169"
"academic painters","300420017","academic painters","AAT Getty","http://vocab.getty.edu/aat/300420016","academic artists","http://vocab.getty.edu/aat/300420017"
"sun gods","300417304","sun gods","AAT Getty","http://vocab.getty.edu/aat/300412113","planetary gods","http://vocab.getty.edu/aat/300417304"
"tutelaries","300412149","tutelaries","AAT Getty","http://vocab.getty.edu/aat/300412150","guardian deities","http://vocab.getty.edu/aat/300412149"
"asianists","300417558","Asianists","AAT Getty","http://vocab.getty.edu/aat/300417556","<people in the humanities by area of speciality>","http://vocab.getty.edu/aat/300417558"
"dalai lamas","300412025","dalai lamas","AAT Getty","http://vocab.getty.edu/aat/300412024","lamas (Buddhist clergy)","http://vocab.getty.edu/aat/300412025"
"bhikkus","300412027","bhikkus","AAT Getty","http://vocab.getty.edu/aat/300412026","Buddhist clergy","http://vocab.getty.edu/aat/300412027"
"milkmaids","300404863","milkmaids","AAT Getty","http://vocab.getty.edu/aat/300404864","milkers","http://vocab.getty.edu/aat/300404863"
"caleseros","300311322","caleseros","AAT Getty","http://vocab.getty.edu/aat/300410345","coachmen","http://vocab.getty.edu/aat/300311322"
"map painters","300435160","map painters","AAT Getty","http://vocab.getty.edu/aat/300389858","mapmakers","http://vocab.getty.edu/aat/300435160"
"advertising artists","300386181","advertising artists","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300386181"
"amateur artists","300386179","amateur artists","AAT Getty","http://vocab.getty.edu/aat/300386778","<artists by status or location>","http://vocab.getty.edu/aat/300386179"
"digital artists","300386183","digital artists","AAT Getty","http://vocab.getty.edu/aat/300386815","new media artists","http://vocab.getty.edu/aat/300386183"
"computer artists","300253822","computer artists","AAT Getty","http://vocab.getty.edu/aat/300386183","digital artists","http://vocab.getty.edu/aat/300253822"
"cut-paper artists","300435152","cut-paper artists","AAT Getty","http://vocab.getty.edu/aat/300386184","paper artists","http://vocab.getty.edu/aat/300435152"
"animal painters","300025161","animal painters","AAT Getty","http://vocab.getty.edu/aat/300386208","animal artists (animal subject)","http://vocab.getty.edu/aat/300025161"
"architectural painters","300254481","architectural painters","AAT Getty","http://vocab.getty.edu/aat/300386212","architectural artists","http://vocab.getty.edu/aat/300254481"
"history painters","300253811","history painters","AAT Getty","http://vocab.getty.edu/aat/300386215","history artists","http://vocab.getty.edu/aat/300253811"
"genre painters","300266117","genre painters","AAT Getty","http://vocab.getty.edu/aat/300386217","genre artists","http://vocab.getty.edu/aat/300266117"
"still life painters","300266118","still life painters","AAT Getty","http://vocab.getty.edu/aat/300386218","still life artists","http://vocab.getty.edu/aat/300266118"
"united states electors","300417536","United States electors","AAT Getty","http://vocab.getty.edu/aat/300386270","electors (general, people by activity)","http://vocab.getty.edu/aat/300417536"
"pargeters","300386332","pargeters","AAT Getty","http://vocab.getty.edu/aat/300386331","plasterwork artists","http://vocab.getty.edu/aat/300386332"
"tapestry artists","300435157","tapestry artists","AAT Getty","http://vocab.getty.edu/aat/300386333","textile artists","http://vocab.getty.edu/aat/300435157"
"alarifes","300311214","alarifes","AAT Getty","http://vocab.getty.edu/aat/300386353","master builders","http://vocab.getty.edu/aat/300311214"
"househusbands","300154331","househusbands","AAT Getty","http://vocab.getty.edu/aat/300386635","homemakers","http://vocab.getty.edu/aat/300154331"
"municipal officials","300386647","municipal officials","AAT Getty","http://vocab.getty.edu/aat/300386641","officials","http://vocab.getty.edu/aat/300386647"
"abstract artists","300386191","abstract artists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300386191"
"nahualli","300417698","nahualli","AAT Getty","http://vocab.getty.edu/aat/300379459","wizards","http://vocab.getty.edu/aat/300417698"
"bacchantes","300379712","bacchantes","AAT Getty","http://vocab.getty.edu/aat/300379897","<ancient Greek and Roman clergy>","http://vocab.getty.edu/aat/300379712"
"archangels","300412110","archangels","AAT Getty","http://vocab.getty.edu/aat/300379004","angels (spirits)","http://vocab.getty.edu/aat/300412110"
"angels (spirits)","300379004","angels (spirits)","AAT Getty","http://vocab.getty.edu/aat/300379007","spirits (beings)","http://vocab.getty.edu/aat/300379004"
"naiads","300380061","naiads","AAT Getty","http://vocab.getty.edu/aat/300379159","nymphs","http://vocab.getty.edu/aat/300380061"
"creator gods","300412038","creator gods","AAT Getty","http://vocab.getty.edu/aat/300343850","deities","http://vocab.getty.edu/aat/300412038"
"earth mothers (deities)","300412036","earth mothers (deities)","AAT Getty","http://vocab.getty.edu/aat/300343852","goddesses","http://vocab.getty.edu/aat/300412036"
"fishwives","300379346","fishwives","AAT Getty","http://vocab.getty.edu/aat/300265789","fishmongers","http://vocab.getty.edu/aat/300379346"
"turntablists","300265806","turntablists","AAT Getty","http://vocab.getty.edu/aat/300265803","disc jockeys","http://vocab.getty.edu/aat/300265806"
"academic artists","300420016","academic artists","AAT Getty","http://vocab.getty.edu/aat/300266109","academics (people)","http://vocab.getty.edu/aat/300420016"
"teocuitlatzotzonque","300404921","teocuitlatzotzonque","AAT Getty","http://vocab.getty.edu/aat/300264832","goldbeaters","http://vocab.getty.edu/aat/300404921"
"hydrographers","300025805","hydrographers","AAT Getty","http://vocab.getty.edu/aat/300264404","hydrologists","http://vocab.getty.edu/aat/300025805"
"black indians","300263269","Black Indians","AAT Getty","http://vocab.getty.edu/aat/300263463","maskers","http://vocab.getty.edu/aat/300263269"
"mardi gras indians","300263942","Mardi Gras Indians","AAT Getty","http://vocab.getty.edu/aat/300263269","Black Indians","http://vocab.getty.edu/aat/300263942"
"ninjas","300391090","ninjas","AAT Getty","http://vocab.getty.edu/aat/300261945","warriors","http://vocab.getty.edu/aat/300391090"
"outsider artists","300266229","outsider artists","AAT Getty","http://vocab.getty.edu/aat/300257252","self-taught artists","http://vocab.getty.edu/aat/300266229"
"padishahs","300264272","padishahs","AAT Getty","http://vocab.getty.edu/aat/300258669","shahs","http://vocab.getty.edu/aat/300264272"
"griottes (storytellers)","300260319","griottes (storytellers)","AAT Getty","http://vocab.getty.edu/aat/300260302","griots","http://vocab.getty.edu/aat/300260319"
"altarpiece painters","300386201","altarpiece painters","AAT Getty","http://vocab.getty.edu/aat/300260891","<painters by location or context>","http://vocab.getty.edu/aat/300386201"
"geologists","300025799","geologists","AAT Getty","http://vocab.getty.edu/aat/300254368","earth scientists","http://vocab.getty.edu/aat/300025799"
"metallurgists","300025813","metallurgists","AAT Getty","http://vocab.getty.edu/aat/300251959","materials scientists","http://vocab.getty.edu/aat/300025813"
"chronologists","300252014","chronologists","AAT Getty","http://vocab.getty.edu/aat/300252020","<people in cross- and interdisciplinary fields>","http://vocab.getty.edu/aat/300252014"
"embroiderers","300025352","embroiderers","AAT Getty","http://vocab.getty.edu/aat/300252058","needleworkers","http://vocab.getty.edu/aat/300025352"
"cabinet officer","300136387","cabinet officers","AAT Getty","http://vocab.getty.edu/aat/300250373","secretaries (public officers)","http://vocab.getty.edu/aat/300136387"
"cabinet officers","300136387","cabinet officers","AAT Getty","http://vocab.getty.edu/aat/300250373","ministers (public officers)","http://vocab.getty.edu/aat/300136387"
"lugartenientes","300311310","lugartenientes","AAT Getty","http://vocab.getty.edu/aat/300250472","deputies","http://vocab.getty.edu/aat/300311310"
"biomedical engineers","300025068","biomedical engineers","AAT Getty","http://vocab.getty.edu/aat/300250637","bioengineers","http://vocab.getty.edu/aat/300025068"
"bakers","300136385","bakers","AAT Getty","http://vocab.getty.edu/aat/300248012","cooks","http://vocab.getty.edu/aat/300136385"
"electroplaters","300025301","electroplaters","AAT Getty","http://vocab.getty.edu/aat/300238344","platers","http://vocab.getty.edu/aat/300025301"
"firefighters","300025862","firefighters","AAT Getty","http://vocab.getty.edu/aat/300239083","<people in security and protection occupations>","http://vocab.getty.edu/aat/300025862"
"astronauts","300380152","astronauts","AAT Getty","http://vocab.getty.edu/aat/300239090","<people in transportation occupations>","http://vocab.getty.edu/aat/300380152"
"animators","300025646","animators","AAT Getty","http://vocab.getty.edu/aat/300239108","<people in visual arts-related occupations>","http://vocab.getty.edu/aat/300025646"
"acolytes","300266370","acolytes","AAT Getty","http://vocab.getty.edu/aat/300239152","Christian clergy","http://vocab.getty.edu/aat/300266370"
"cantors","300136390","cantors","AAT Getty","http://vocab.getty.edu/aat/300239153","Jewish clergy","http://vocab.getty.edu/aat/300136390"
"ayatollahs","300025755","ayatollahs","AAT Getty","http://vocab.getty.edu/aat/300239154","Islamic clergy","http://vocab.getty.edu/aat/300025755"
"magi (clergy)","300188718","magi (clergy)","AAT Getty","http://vocab.getty.edu/aat/300239169","Zoroastrian clergy","http://vocab.getty.edu/aat/300188718"
"alchemists","300236020","alchemists","AAT Getty","http://vocab.getty.edu/aat/300239172","<people in the occult sciences>","http://vocab.getty.edu/aat/300236020"
"businessmen","300025210","businessmen","AAT Getty","http://vocab.getty.edu/aat/300239179","businesspeople","http://vocab.getty.edu/aat/300025210"
"censors","300192800","censors","AAT Getty","http://vocab.getty.edu/aat/300239192","<public officers by activity>","http://vocab.getty.edu/aat/300192800"
"admirals","300236014","admirals","AAT Getty","http://vocab.getty.edu/aat/300236210","military officers","http://vocab.getty.edu/aat/300236014"
"cellarers","300258978","cellarers","AAT Getty","http://vocab.getty.edu/aat/300236284","stewards","http://vocab.getty.edu/aat/300258978"
"maritime pilots","300411551","maritime pilots","AAT Getty","http://vocab.getty.edu/aat/300236293","pilots","http://vocab.getty.edu/aat/300411551"
"condottieri","300236493","condottieri","AAT Getty","http://vocab.getty.edu/aat/300236474","commanding officers","http://vocab.getty.edu/aat/300236493"
"ballerina","300236026","ballerinas","AAT Getty","http://vocab.getty.edu/aat/300236566","ballet dancers","http://vocab.getty.edu/aat/300236026"
"ballerinas","300236026","ballerinas","AAT Getty","http://vocab.getty.edu/aat/300236566","ballet-dancers","http://vocab.getty.edu/aat/300236026"
"generals of the artillery","300435172","generals of the artillery","AAT Getty","http://vocab.getty.edu/aat/300236762","generals (officers)","http://vocab.getty.edu/aat/300435172"
"industrial painters","300136453","industrial painters","AAT Getty","http://vocab.getty.edu/aat/300236851","painters (tradespeople)","http://vocab.getty.edu/aat/300136453"
"landscape painters","300435136","landscape painters","AAT Getty","http://vocab.getty.edu/aat/300236992","landscapists","http://vocab.getty.edu/aat/300435136"
"caesars","300264244","caesars","AAT Getty","http://vocab.getty.edu/aat/300237007","monarchs","http://vocab.getty.edu/aat/300264244"
"portrait painters","300435154","portrait painters","AAT Getty","http://vocab.getty.edu/aat/300237351","portraitists","http://vocab.getty.edu/aat/300435154"
"evangelists","300025762","evangelists","AAT Getty","http://vocab.getty.edu/aat/300237357","preachers","http://vocab.getty.edu/aat/300025762"
"antipopes","300379813","antipopes","AAT Getty","http://vocab.getty.edu/aat/300237368","prelates","http://vocab.getty.edu/aat/300379813"
"military officer","300236210","military officers","AAT Getty","http://vocab.getty.edu/aat/300237630","<people in military occupations>","http://vocab.getty.edu/aat/300236210"
"legionnaires","300386096","legionnaires","AAT Getty","http://vocab.getty.edu/aat/300234964","mercenaries","http://vocab.getty.edu/aat/300386096"
"harpsichordists","300235014","harpsichordists","AAT Getty","http://vocab.getty.edu/aat/300234981","keyboard instrumentalists","http://vocab.getty.edu/aat/300235014"
"banjoists","300235019","banjoists","AAT Getty","http://vocab.getty.edu/aat/300234983","stringed instrumentalists","http://vocab.getty.edu/aat/300235019"
"bagpipers","300234986","bagpipers","AAT Getty","http://vocab.getty.edu/aat/300234984","wind instrumentalists","http://vocab.getty.edu/aat/300234986"
"drummers","300235069","drummers","AAT Getty","http://vocab.getty.edu/aat/300235068","percussionists","http://vocab.getty.edu/aat/300235069"
"kettledrummers","300235070","kettledrummers","AAT Getty","http://vocab.getty.edu/aat/300235069","drummers","http://vocab.getty.edu/aat/300235070"
"timpanists","300235071","timpanists","AAT Getty","http://vocab.getty.edu/aat/300235070","kettledrummers","http://vocab.getty.edu/aat/300235071"
"agriculturists","300025604","agriculturists","AAT Getty","http://vocab.getty.edu/aat/300230848","<people in agriculture>","http://vocab.getty.edu/aat/300025604"
"fellahin","300263945","fellahin","AAT Getty","http://vocab.getty.edu/aat/300230852","peasants","http://vocab.getty.edu/aat/300263945"
"knights","300230874","knights (landholders)","AAT Getty","http://vocab.getty.edu/aat/300230869","landholders","http://vocab.getty.edu/aat/300230874"
"geomancers","300239116","geomancers","AAT Getty","http://vocab.getty.edu/aat/300207878","diviners","http://vocab.getty.edu/aat/300239116"
"executive producers","300417253","executive producers","AAT Getty","http://vocab.getty.edu/aat/300197742","producers (managers)","http://vocab.getty.edu/aat/300417253"
"churchwardens","300252301","churchwardens","AAT Getty","http://vocab.getty.edu/aat/300189710","officers (administrators)","http://vocab.getty.edu/aat/300252301"
"soldier","300236262","cavaliers (soldiers)","AAT Getty","http://vocab.getty.edu/aat/300185678","soldiers","http://vocab.getty.edu/aat/300236262"
"cavaliers","300236262","cavaliers (soldiers)","AAT Getty","http://vocab.getty.edu/aat/300185678","soldiers","http://vocab.getty.edu/aat/300236262"
"dasturs","300264498","dasturs","AAT Getty","http://vocab.getty.edu/aat/300188718","magi (clergy)","http://vocab.getty.edu/aat/300264498"
"courtesans","300236521","courtesans","AAT Getty","http://vocab.getty.edu/aat/300189023","prostitutes","http://vocab.getty.edu/aat/300236521"
"artists' colormen","300025185","artists' colormen","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025185"
"artists' colourmen","300025185","artists' colourmen","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300025185"
"dressmaker","300025350","dressmakers","AAT Getty","http://vocab.getty.edu/aat/300168309","<textile workers by product>","http://vocab.getty.edu/aat/300025350"
"dress-makers","300025350","dress-makers","AAT Getty","http://vocab.getty.edu/aat/300168309","<textile workers by product>","http://vocab.getty.edu/aat/300025350"
"architectural critics","300025520","architectural critics","AAT Getty","http://vocab.getty.edu/aat/300168332","<people in arts-related occupations>","http://vocab.getty.edu/aat/300025520"
"social scientists","300171580","social scientists","AAT Getty","http://vocab.getty.edu/aat/300168333","<people in the social sciences and related occupations>","http://vocab.getty.edu/aat/300171580"
"building inspectors","300417565","building inspectors","AAT Getty","http://vocab.getty.edu/aat/300168334","<people in engineering, building trades and planning>","http://vocab.getty.edu/aat/300417565"
"church historians","300025542","church historians","AAT Getty","http://vocab.getty.edu/aat/300168335","people in religion-related occupations","http://vocab.getty.edu/aat/300025542"
"archivists","300162133","archivists","AAT Getty","http://vocab.getty.edu/aat/300168378","<people in history-related occupations>","http://vocab.getty.edu/aat/300162133"
"people in communications","300103043","people in communications","AAT Getty","http://vocab.getty.edu/aat/300168393","<people in social science-related occupations>","http://vocab.getty.edu/aat/300103043"
"apostles","300343837","apostles","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300343837"
"historians","300025539","historians","AAT Getty","http://vocab.getty.edu/aat/300171567","<people in history and related occupations>","http://vocab.getty.edu/aat/300025539"
"linguists","300025561","linguists","AAT Getty","http://vocab.getty.edu/aat/300171570","<people in linguistics and related occupations>","http://vocab.getty.edu/aat/300025561"
"cryptologists","300389759","cryptologists","AAT Getty","http://vocab.getty.edu/aat/300171572","<people in linguistics-related occupations>","http://vocab.getty.edu/aat/300389759"
"authors","300025492","authors","AAT Getty","http://vocab.getty.edu/aat/300171574","<people in literature>","http://vocab.getty.edu/aat/300025492"
"adapters","300410355","adapters (people in literature)","AAT Getty","http://vocab.getty.edu/aat/300171575","<people in literature-related occupations>","http://vocab.getty.edu/aat/300410355"
"anthropologists","300025583","anthropologists","AAT Getty","http://vocab.getty.edu/aat/300171580","social scientists","http://vocab.getty.edu/aat/300025583"
"barbers","300188613","barbers","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300188613"
"keyboard instrumentalists","300234981","keyboard instrumentalists","AAT Getty","http://vocab.getty.edu/aat/300162131","instrumentalists","http://vocab.getty.edu/aat/300234981"
"foreign correspondents","300025510","foreign correspondents","AAT Getty","http://vocab.getty.edu/aat/300155251","correspondents (reporters)","http://vocab.getty.edu/aat/300025510"
"anatomists","300025807","anatomists","AAT Getty","http://vocab.getty.edu/aat/300155832","<people in health and medicine>","http://vocab.getty.edu/aat/300025807"
"caretakers","300025858","caretakers","AAT Getty","http://vocab.getty.edu/aat/300160390","custodians","http://vocab.getty.edu/aat/300025858"
"care-takers","300025858","care-takers","AAT Getty","http://vocab.getty.edu/aat/300160390","custodians","http://vocab.getty.edu/aat/300025858"
"online vendors","300150802","online vendors","AAT Getty","http://vocab.getty.edu/aat/300150791","vendors","http://vocab.getty.edu/aat/300150802"
"on-line vendors","300150802","on-line vendors","AAT Getty","http://vocab.getty.edu/aat/300150791","vendors","http://vocab.getty.edu/aat/300150802"
"ministers of the crown","300312202","ministers of the crown","AAT Getty","http://vocab.getty.edu/aat/300136387","cabinet officers","http://vocab.getty.edu/aat/300312202"
"horse breeders","300136457","horse breeders","AAT Getty","http://vocab.getty.edu/aat/300136443","livestock breeders","http://vocab.getty.edu/aat/300136457"
"members of the house of representatives","300164742","Members of the House of Representatives","AAT Getty","http://vocab.getty.edu/aat/300136445","members of Congress","http://vocab.getty.edu/aat/300164742"
"butlers","300435318","butlers (servants)","AAT Getty","http://vocab.getty.edu/aat/300136452","domestics (servants)","http://vocab.getty.edu/aat/300435318"
"butler","300435318","butlers (servants)","AAT Getty","http://vocab.getty.edu/aat/300136452","domestics (servants)","http://vocab.getty.edu/aat/300435318"
"cremators","300389798","cremators","AAT Getty","http://vocab.getty.edu/aat/300136468","undertakers","http://vocab.getty.edu/aat/300389798"
"cryptographers","300025523","cryptographers","AAT Getty","http://vocab.getty.edu/aat/300137140","clerical workers","http://vocab.getty.edu/aat/300025523"
"encyclopedists","300025498","encyclopedists","AAT Getty","http://vocab.getty.edu/aat/300121766","compilers (people in literature)","http://vocab.getty.edu/aat/300025498"
"encyclopaedists","300025498","encyclopaedists","AAT Getty","http://vocab.getty.edu/aat/300121766","compilers (people in literature)","http://vocab.getty.edu/aat/300025498"
"arborculturists","300178565","arborculturists","AAT Getty","http://vocab.getty.edu/aat/300112031","horticulturists","http://vocab.getty.edu/aat/300178565"
"architectural conservationists","300386257","architectural conservationists","AAT Getty","http://vocab.getty.edu/aat/300102842","conservators (people in conservation)","http://vocab.getty.edu/aat/300386257"
"announcer","300025503","announcers","AAT Getty","http://vocab.getty.edu/aat/300103043","people in communications","http://vocab.getty.edu/aat/300025503"
"independent filmmakers","300263843","independent filmmakers","AAT Getty","http://vocab.getty.edu/aat/300075154","filmmakers","http://vocab.getty.edu/aat/300263843"
"independent filmmaker","300263843","independent filmmakers","AAT Getty","http://vocab.getty.edu/aat/300075154","film-makers","http://vocab.getty.edu/aat/300263843"
"acrobats","300263157","acrobats","AAT Getty","http://vocab.getty.edu/aat/300068931","performing artists","http://vocab.getty.edu/aat/300263157"
"biometricians","300251381","biometricians","AAT Getty","http://vocab.getty.edu/aat/300025787","statisticians","http://vocab.getty.edu/aat/300251381"
"astronomers","300025789","astronomers","AAT Getty","http://vocab.getty.edu/aat/300025788","scientists","http://vocab.getty.edu/aat/300025789"
"astrophysicists","300386259","astrophysicists","AAT Getty","http://vocab.getty.edu/aat/300025789","astronomers","http://vocab.getty.edu/aat/300386259"
"botanists","300025791","botanists","AAT Getty","http://vocab.getty.edu/aat/300025790","biologists","http://vocab.getty.edu/aat/300025791"
"entomologists","300025798","entomologists","AAT Getty","http://vocab.getty.edu/aat/300025792","zoologists","http://vocab.getty.edu/aat/300025798"
"assayers","300025794","assayers","AAT Getty","http://vocab.getty.edu/aat/300025793","chemists (scientists)","http://vocab.getty.edu/aat/300025794"
"gemologists","300417562","gemologists","AAT Getty","http://vocab.getty.edu/aat/300025799","geologists","http://vocab.getty.edu/aat/300417562"
"radiologists","300264496","radiologists","AAT Getty","http://vocab.getty.edu/aat/300025806","medical scientists","http://vocab.getty.edu/aat/300264496"
"ophthalmologists","300237241","ophthalmologists","AAT Getty","http://vocab.getty.edu/aat/300025809","physicians","http://vocab.getty.edu/aat/300237241"
"acousticians","300264414","acousticians","AAT Getty","http://vocab.getty.edu/aat/300025816","physicists","http://vocab.getty.edu/aat/300264414"
"rope access technicians","300404923","rope access technicians","AAT Getty","http://vocab.getty.edu/aat/300025823","technicians","http://vocab.getty.edu/aat/300404923"
"janitors","300161724","janitors","AAT Getty","http://vocab.getty.edu/aat/300025864","maintenance men","http://vocab.getty.edu/aat/300161724"
"policemen","300264351","policemen","AAT Getty","http://vocab.getty.edu/aat/300025867","police officers","http://vocab.getty.edu/aat/300264351"
"cobbler","300136719","cobblers","AAT Getty","http://vocab.getty.edu/aat/300025869","repairmen","http://vocab.getty.edu/aat/300136719"
"cobblers","300136719","cobblers","AAT Getty","http://vocab.getty.edu/aat/300025869","repair-men","http://vocab.getty.edu/aat/300136719"
"servant","300136452","domestics (servants)","AAT Getty","http://vocab.getty.edu/aat/300025874","servants","http://vocab.getty.edu/aat/300136452"
"domestics","300136452","domestics (servants)","AAT Getty","http://vocab.getty.edu/aat/300025874","servants","http://vocab.getty.edu/aat/300136452"
"blue collar workers","300025887","blue collar workers","AAT Getty","http://vocab.getty.edu/aat/300025886","workers","http://vocab.getty.edu/aat/300025887"
"colliers","300380157","colliers","AAT Getty","http://vocab.getty.edu/aat/300025887","blue collar workers","http://vocab.getty.edu/aat/300380157"
"technician","300025823","technicians","AAT Getty","http://vocab.getty.edu/aat/300025893","skilled workers","http://vocab.getty.edu/aat/300025823"
"technicians","300025823","technicians","AAT Getty","http://vocab.getty.edu/aat/300025893","skilled labour","http://vocab.getty.edu/aat/300025823"
"clerical workers","300137140","clerical workers","AAT Getty","http://vocab.getty.edu/aat/300025895","white collar workers","http://vocab.getty.edu/aat/300137140"
"cadets","300247389","cadets","AAT Getty","http://vocab.getty.edu/aat/300025909","students","http://vocab.getty.edu/aat/300247389"
"biographers","300025494","biographers","AAT Getty","http://vocab.getty.edu/aat/300025492","authors","http://vocab.getty.edu/aat/300025494"
"autobiographers","300400832","autobiographers","AAT Getty","http://vocab.getty.edu/aat/300025494","biographers","http://vocab.getty.edu/aat/300400832"
"columnists","300025505","columnists","AAT Getty","http://vocab.getty.edu/aat/300025501","journalists","http://vocab.getty.edu/aat/300025505"
"announcers","300025504","newscasters (announcers)","AAT Getty","http://vocab.getty.edu/aat/300025503","announcers","http://vocab.getty.edu/aat/300025504"
"newscasters","300025504","newscasters (announcers)","AAT Getty","http://vocab.getty.edu/aat/300025503","announcers","http://vocab.getty.edu/aat/300025504"
"reporters","300155251","correspondents (reporters)","AAT Getty","http://vocab.getty.edu/aat/300025508","reporters (news)","http://vocab.getty.edu/aat/300155251"
"correspondents","300155251","correspondents (reporters)","AAT Getty","http://vocab.getty.edu/aat/300025508","reporters (news)","http://vocab.getty.edu/aat/300155251"
"literary critics","300025522","literary critics","AAT Getty","http://vocab.getty.edu/aat/300025519","critics","http://vocab.getty.edu/aat/300025522"
"copyeditors","300189515","copyeditors","AAT Getty","http://vocab.getty.edu/aat/300025526","editors (people who revise)","http://vocab.getty.edu/aat/300189515"
"copy editors","300189515","copy editors","AAT Getty","http://vocab.getty.edu/aat/300025526","editors (people who revise)","http://vocab.getty.edu/aat/300189515"
"deans","300025528","deans (educators)","AAT Getty","http://vocab.getty.edu/aat/300025527","educators","http://vocab.getty.edu/aat/300025528"
"associate professors","300263066","associate professors","AAT Getty","http://vocab.getty.edu/aat/300025529","teachers","http://vocab.getty.edu/aat/300263066"
"full professors","300312341","full professors","AAT Getty","http://vocab.getty.edu/aat/300025533","professors (teachers)","http://vocab.getty.edu/aat/300312341"
"historiographers","300025544","historiographers","AAT Getty","http://vocab.getty.edu/aat/300025539","historians","http://vocab.getty.edu/aat/300025544"
"catalogers","300025557","catalogers","AAT Getty","http://vocab.getty.edu/aat/300025550","information scientists","http://vocab.getty.edu/aat/300025557"
"cataloguers","300025557","cataloguers (information scientists)","AAT Getty","http://vocab.getty.edu/aat/300025550","information scientists","http://vocab.getty.edu/aat/300025557"
"audiovisual librarians","300025556","audiovisual librarians","AAT Getty","http://vocab.getty.edu/aat/300025555","librarians","http://vocab.getty.edu/aat/300025556"
"audio-visual librarians","300025556","audio-visual librarians","AAT Getty","http://vocab.getty.edu/aat/300025555","librarians","http://vocab.getty.edu/aat/300025556"
"government librarians","300025559","government librarians","AAT Getty","http://vocab.getty.edu/aat/300025560","special librarians","http://vocab.getty.edu/aat/300025559"
"etymologists","300264848","etymologists","AAT Getty","http://vocab.getty.edu/aat/300025561","linguists","http://vocab.getty.edu/aat/300264848"
"ethnomusicologists","300025564","ethnomusicologists","AAT Getty","http://vocab.getty.edu/aat/300025563","musicologists","http://vocab.getty.edu/aat/300025564"
"aestheticians","300025570","aestheticians","AAT Getty","http://vocab.getty.edu/aat/300025569","philosophers","http://vocab.getty.edu/aat/300025570"
"process philosophers","300260549","process philosophers","AAT Getty","http://vocab.getty.edu/aat/300025572","metaphysicians","http://vocab.getty.edu/aat/300260549"
"rubricators","300237497","rubricators","AAT Getty","http://vocab.getty.edu/aat/300025580","scribes (people)","http://vocab.getty.edu/aat/300237497"
"ethnographers","300236750","ethnographers","AAT Getty","http://vocab.getty.edu/aat/300025583","anthropologists","http://vocab.getty.edu/aat/300236750"
"ethnohistorians","300263349","ethnohistorians","AAT Getty","http://vocab.getty.edu/aat/300025584","social anthropologists","http://vocab.getty.edu/aat/300263349"
"cartographers","300025593","cartographers","AAT Getty","http://vocab.getty.edu/aat/300025592","geographers","http://vocab.getty.edu/aat/300025593"
"geopoliticians","300255151","geopoliticians","AAT Getty","http://vocab.getty.edu/aat/300025596","political scientists","http://vocab.getty.edu/aat/300255151"
"art therapists","300386255","art therapists","AAT Getty","http://vocab.getty.edu/aat/300025598","therapists","http://vocab.getty.edu/aat/300386255"
"translator","300025602","interpreters (translators)","AAT Getty","http://vocab.getty.edu/aat/300025601","translators","http://vocab.getty.edu/aat/300025602"
"interpreters","300025602","interpreters (translators)","AAT Getty","http://vocab.getty.edu/aat/300025601","translators","http://vocab.getty.edu/aat/300025602"
"agronomists","300254398","agronomists","AAT Getty","http://vocab.getty.edu/aat/300025604","agriculturists","http://vocab.getty.edu/aat/300254398"
"peasants","300230852","peasants","AAT Getty","http://vocab.getty.edu/aat/300025607","farmers (people in agriculture)","http://vocab.getty.edu/aat/300230852"
"silviculturists","300386173","silviculturists","AAT Getty","http://vocab.getty.edu/aat/300025609","foresters","http://vocab.getty.edu/aat/300386173"
"loggers","300025610","loggers","AAT Getty","http://vocab.getty.edu/aat/300025611","lumbermen","http://vocab.getty.edu/aat/300025610"
