"literal","code","standard","contributor","province"
"'s-graveland","10534","s-Graveland","cedarproject","Noord-Holland"
"'s-gravenambacht","10935","s-Gravenambacht","cedarproject","Zuid-Holland"
"'s-gravendeel","10052","s-Gravendeel","cedarproject","Zuid-Holland"
"'s-gravenhage","11434","s-Gravenhage","cedarproject","Zuid-Holland"
"'s-gravenhoek","11420","s-Gravenhoek","cedarproject","Zeeland"
"'s-gravenmoer","10469","s-Gravenmoer","cedarproject","Noord-Brabant"
"'s-gravenpolder","11059","s-Gravenpolder","cedarproject","Zeeland"
"'s-gravenzande","10640","s-Gravenzande","cedarproject","Zuid-Holland"
"'s-gravesloot","10882","s-Gravesloot","cedarproject","Utrecht"
"'s-heer abtskerke","10337","s-Heer Abtskerke","cedarproject","Zeeland"
"'s-heer arendskerke","10875","s-Heer Arendskerke","cedarproject","Zeeland"
"'s-heer hendrikskinderen","10117","s-Heer Hendrikskinderen","cedarproject","Zeeland"
"'s-heerenberg","10350","Bergh","cedarproject","Gelderland"
"'s-heerenhoek","10721","s-Heerenhoek","cedarproject","Zeeland"
"'s-hertogenbosch","10054","s-Hertogenbosch","cedarproject","Noord-Brabant"
"'t woud","11446","t Woud","cedarproject","Zuid-Holland"
"'t zandt","10956","t Zandt","cedarproject","Groningen"
"aa en hunze","10787","Aa en Hunze","cedarproject","Drenthe"
"aagtekerke","10531","Aagtekerke","cedarproject","Zeeland"
"aalburg","11084","Aalburg","cedarproject","Noord-Brabant"
"aalsmeer","11264","Aalsmeer","cedarproject","Noord-Holland"
"aalst","11423","Aalst [NB]","cedarproject","Noord-Brabant"
"aalten","11046","Aalten","cedarproject","Gelderland"
"aardenburg","11020","Aardenburg","cedarproject","Zeeland"
"aarlanderveen","11242","Aarlanderveen","cedarproject","Zuid-Holland"
"aarle-rixtel","10757","Aarle-Rixtel","cedarproject","Noord-Brabant"
"abbekerk","10439","Abbekerk","cedarproject","Noord-Holland"
"abbenbroek","11026","Abbenbroek","cedarproject","Zuid-Holland"
"abcoude","10712","Abcoude [1]","cedarproject","Utrecht"
"abcoude-baambrugge","11184","Abcoude-Baambrugge","cedarproject","Utrecht"
"abcoude-proostdij","10712","Abcoude [1]","cedarproject","Utrecht"
"abstede","11068","Abstede","cedarproject","Utrecht"
"abtsregt","10946","Abtsregt","cedarproject","Zuid-Holland"
"achthoven","10141","Achthoven","cedarproject","Utrecht"
"achtkarspelen","10199","Achtkarspelen","cedarproject","Friesland"
"achttienhoven","10972","Achttienhoven [ZH]","cedarproject","Zuid-Holland"
"ackersdijk en vrouwenregt","10013","Ackersdijk en Vrouwenregt","cedarproject","Zuid-Holland"
"adorp","10996","Adorp","cedarproject","Groningen"
"aduard","10999","Aduard","cedarproject","Groningen"
"aengwirden","10157","Ængwirden","cedarproject","Friesland"
"afferden","11015","Afferden [Ge]","cedarproject","Gelderland"
"akersloot","10346","Akersloot","cedarproject","Noord-Holland"
"akkrum","10140","Akkrum","cedarproject","Friesland"
"alblasserdam","11327","Alblasserdam","cedarproject","Zuid-Holland"
"albrandswaard","10124","Albrandswaard [1]","cedarproject","Zuid-Holland"
"alem","10745","Alem","cedarproject","Noord-Brabant"
"alem, maren en kessel","10495","Alem, Maren en Kessel","cedarproject","Noord-Brabant"
"alkemade","10349","Alkemade","cedarproject","Zuid-Holland"
"alkmaar","10527","Alkmaar","cedarproject","Noord-Holland"
"almelo","11053","Almelo [1]","cedarproject","Overijssel"
"almenum","10001","Almenum","cedarproject","Friesland"
"almere","10018","Almere","cedarproject","Flevoland"
"almkerk","10788","Almkerk","cedarproject","Noord-Brabant"
"alphen","10995","Alphen [Ge]","cedarproject","Gelderland"
"alphen aan den rijn","10517","Alphen","cedarproject","Zuid-Holland"
"alphen en riel","10710","Alphen-Chaam","cedarproject","Noord-Brabant"
"alphen-chaam","10710","Alphen-Chaam","cedarproject","Noord-Brabant"
"ambt almelo","11065","Ambt Almelo","cedarproject","Overijssel"
"ambt delden","11400","Ambt Delden","cedarproject","Overijssel"
"ambt doetinchem","10396","Ambt Doetinchem","cedarproject","Gelderland"
"ambt hardenberg","10174","Ambt Hardenberg","cedarproject","Overijssel"
"ambt montfort","10456","Ambt Montfort","cedarproject","Limburg"
"ambt ommen","11069","Ambt Ommen","cedarproject","Overijssel"
"ambt vollenhove","11088","Ambt Vollenhove","cedarproject","Overijssel"
"amby","10922","Amby","cedarproject","Limburg"
"ameide","11349","Ameide","cedarproject","Zuid-Holland"
"ameland","11153","Ameland","cedarproject","Friesland"
"amerongen","11372","Amerongen","cedarproject","Utrecht"
"amersfoort","10948","Amersfoort","cedarproject","Utrecht"
"ammerstol","10863","Ammerstol","cedarproject","Zuid-Holland"
"ammerzoden","10151","Ammerzoden","cedarproject","Gelderland"
"amstelveen","10799","Amstelveen","cedarproject","Noord-Holland"
"amstenrade","10062","Amstenrade","cedarproject","Limburg"
"amsterdam","11150","Amsterdam","cedarproject","Noord-Holland"
"andel","10871","Andel","cedarproject","Noord-Brabant"
"andijk","10822","Andijk","cedarproject","Noord-Holland"
"angerlo","11131","Angerlo","cedarproject","Gelderland"
"anjum","10158","Anjum","cedarproject","Friesland"
"ankeveen","10936","Ankeveen","cedarproject","Noord-Holland"
"anloo","10787","Aa en Hunze","cedarproject","Drenthe"
"anna paulowna","10344","Anna Paulowna","cedarproject","Noord-Holland"
"apeldoorn","11075","Apeldoorn","cedarproject","Gelderland"
"appeltern","11296","Appeltern","cedarproject","Gelderland"
"appingedam","10886","Appingedam","cedarproject","Groningen"
"arcen en velden","10202","Arcen en Velden","cedarproject","Limburg"
"arkel","10079","Arkel","cedarproject","Zuid-Holland"
"arnemuiden","11419","Arnemuiden","cedarproject","Zeeland"
"arnhem","10795","Arnhem","cedarproject","Gelderland"
"arum","11440","Arum","cedarproject","Friesland"
"asperen","11369","Asperen","cedarproject","Zuid-Holland"
"assen","10522","Assen","cedarproject","Drenthe"
"assendelft","11373","Assendelft","cedarproject","Noord-Holland"
"asten","10478","Asten","cedarproject","Noord-Brabant"
"augustinusga","11060","Augustinusga","cedarproject","Friesland"
"avenhorn","11147","Avenhorn","cedarproject","Noord-Holland"
"avereest","11190","Avereest","cedarproject","Overijssel"
"axel","11289","Axel","cedarproject","Zeeland"
"baambrugge","11184","Abcoude-Baambrugge","cedarproject","Utrecht"
"baarderadeel","10422","Baarderadeel","cedarproject","Friesland"
"baardwijk","10006","Baardwijk","cedarproject","Noord-Brabant"
"baarland","10634","Baarland","cedarproject","Zeeland"
"baarle-nassau","10060","Baarle-Nassau","cedarproject","Noord-Brabant"
"baarn","11411","Baarn","cedarproject","Utrecht"
"baexem","11255","Baexem","cedarproject","Limburg"
"baflo","10539","Baflo","cedarproject","Groningen"
"bakel","10749","Bakel","cedarproject","Noord-Brabant"
"bakel en milheeze","10749","Bakel","cedarproject","Noord-Brabant"
"balgoij","10849","Balgoij","cedarproject","Gelderland"
"balk","10036","Balk","cedarproject","Friesland"
"bangert","10642","Bangert","cedarproject","Noord-Holland"
"barendrecht","10943","Barendrecht [1]","cedarproject","Zuid-Holland"
"barneveld","10906","Barneveld","cedarproject","Gelderland"
"barradeel","10156","Barradeel","cedarproject","Friesland"
"barsingerhorn","10973","Barsingerhorn","cedarproject","Noord-Holland"
"barwoutswaarder","10447","Barwoutswaarder","cedarproject","Zuid-Holland"
"batenburg","10921","Batenburg","cedarproject","Gelderland"
"bath","10623","Bath","cedarproject","Zeeland"
"bathmen","11030","Bathmen","cedarproject","Overijssel"
"bedum","10425","Bedum","cedarproject","Groningen"
"beegden","11089","Beegden","cedarproject","Limburg"
"beek","11374","Beek [Li]","cedarproject","Limburg"
"beek en donk","10173","Beek en Donk","cedarproject","Noord-Brabant"
"beekbergen","11390","Beekbergen","cedarproject","Gelderland"
"beemster","10816","Beemster","cedarproject","Noord-Holland"
"beers","11410","Beers","cedarproject","Noord-Brabant"
"beerta","11043","Beerta","cedarproject","Groningen"
"beesd","10259","Beesd","cedarproject","Gelderland"
"beesel","10195","Beesel","cedarproject","Limburg"
"beets","10536","Beets","cedarproject","Noord-Holland"
"beetsterzwaag","10987","Beetsterzwaag","cedarproject","Friesland"
"beilen","10520","Beilen","cedarproject","Drenthe"
"belfeld","10292","Belfeld","cedarproject","Limburg"
"bellingwedde","10340","Bellingwedde","cedarproject","Groningen"
"bellingwolde","10340","Bellingwedde","cedarproject","Groningen"
"beltrum","10251","Beltrum","cedarproject","Gelderland"
"bemelen","10878","Bemelen","cedarproject","Limburg"
"bemmel","10744","Bemmel","cedarproject","Gelderland"
"bennebroek","10734","Bennebroek","cedarproject","Noord-Holland"
"bennekom","11179","Bennekom","cedarproject","Gelderland"
"benschop","11330","Benschop","cedarproject","Utrecht"
"benthorn","11267","Benthorn","cedarproject","Zuid-Holland"
"benthuizen","10398","Benthuizen","cedarproject","Zuid-Holland"
"berg en terblijt","10796","Berg en Terblijt","cedarproject","Limburg"
"bergambacht","10962","Bergambacht","cedarproject","Zuid-Holland"
"bergeijk","11160","Bergeijk","cedarproject","Noord-Brabant"
"bergen","11424","Bergen [NH]","cedarproject","Noord-Holland"
"bergen op zoom","11037","Bergen op Zoom","cedarproject","Noord-Brabant"
"bergeyk","11160","Bergeijk","cedarproject","Noord-Brabant"
"bergh","10350","Bergh","cedarproject","Gelderland"
"bergharen","10883","Bergharen","cedarproject","Gelderland"
"berghem","10733","Berghem","cedarproject","Noord-Brabant"
"bergschenhoek","10445","Bergschenhoek","cedarproject","Zuid-Holland"
"bergum","11241","Bergum","cedarproject","Friesland"
"berkel en rodenrijs","10139","Berkel en Rodenrijs","cedarproject","Zuid-Holland"
"berkel-enschot","11132","Berkel-Enschot","cedarproject","Noord-Brabant"
"berkelland","10436","Berkelland","cedarproject","Gelderland"
"berkenrode","10223","Berkenrode","cedarproject","Noord-Holland"
"berkenwoude","10797","Berkenwoude","cedarproject","Zuid-Holland"
"berkhout","10354","Berkhout","cedarproject","Noord-Holland"
"berlicum","10362","Berlicum","cedarproject","Noord-Brabant"
"berlikum","11117","Berlikum","cedarproject","Friesland"
"bernheze","10149","Bernheze","cedarproject","Noord-Brabant"
"bernisse","10316","Bernisse","cedarproject","Zuid-Holland"
"besoijen","10056","Besoijen","cedarproject","Noord-Brabant"
"best","10442","Best","cedarproject","Noord-Brabant"
"beugen en rijkevoort","10252","Beugen en Rijkevoort","cedarproject","Noord-Brabant"
"beuningen","10417","Beuningen","cedarproject","Gelderland"
"beusichem","11182","Beusichem","cedarproject","Gelderland"
"beverwijk","10272","Beverwijk","cedarproject","Noord-Holland"
"biert","10686","Biert","cedarproject","Zuid-Holland"
"bierum","11294","Bierum","cedarproject","Groningen"
"biervliet","10257","Biervliet","cedarproject","Zeeland"
"biesland","10074","Biesland","cedarproject","Zuid-Holland"
"biggekerke","11364","Biggekerke","cedarproject","Zeeland"
"bijlmermeer","11272","Bijlmermeer","cedarproject","Noord-Holland"
"bingelrade","10967","Bingelrade","cedarproject","Limburg"
"binnenmaas","10222","Binnenmaas","cedarproject","Zuid-Holland"
"bladel","11006","Bladel","cedarproject","Noord-Brabant"
"bladel en netersel","11006","Bladel","cedarproject","Noord-Brabant"
"blankenham","10320","Blankenham","cedarproject","Overijssel"
"blaricum","10493","Blaricum","cedarproject","Noord-Holland"
"bleiswijk","10994","Bleiswijk","cedarproject","Zuid-Holland"
"bleskensgraaf","10451","Bleskensgraaf","cedarproject","Zuid-Holland"
"bleskensgraaf en hofwegen","10451","Bleskensgraaf","cedarproject","Zuid-Holland"
"blija","10226","Blija","cedarproject","Friesland"
"bloemendaal","10850","Bloemendaal","cedarproject","Noord-Holland"
"blokker","10804","Blokker","cedarproject","Noord-Holland"
"blokzijl","10689","Blokzijl","cedarproject","Overijssel"
"boarnsterhim","10815","Boarnsterhim","cedarproject","Friesland"
"bocholtz","10986","Bocholtz","cedarproject","Limburg"
"bodegraven","11091","Bodegraven","cedarproject","Zuid-Holland"
"boekel","10432","Boekel","cedarproject","Noord-Brabant"
"bokhoven","11083","Bokhoven","cedarproject","Noord-Brabant"
"bolsward","10865","Bolsward","cedarproject","Friesland"
"bommenede","10785","Bommenede","cedarproject","Zeeland"
"boornsterhem","10815","Boarnsterhim","cedarproject","Friesland"
"borculo","11307","Borculo","cedarproject","Gelderland"
"borger","10448","Borger","cedarproject","Drenthe"
"borger-odoorn","10448","Borger","cedarproject","Drenthe"
"borgharen","11334","Borgharen","cedarproject","Limburg"
"borkel en schaft","11013","Borkel en Schaft","cedarproject","Noord-Brabant"
"born","10927","Born","cedarproject","Limburg"
"borne","10326","Borne","cedarproject","Overijssel"
"borsele","10043","Borsele","cedarproject","Zeeland"
"borssele","10043","Borsele","cedarproject","Zeeland"
"boschkapelle","10605","Boschkapelle","cedarproject","Zeeland"
"boskoop","10419","Boskoop","cedarproject","Zuid-Holland"
"bourtange","10332","Bourtange","cedarproject","Groningen"
"bovenkarspel","10945","Bovenkarspel","cedarproject","Noord-Holland"
"boxmeer","11227","Boxmeer","cedarproject","Noord-Brabant"
"boxtel","10083","Boxtel","cedarproject","Noord-Brabant"
"bozum","10422","Baarderadeel","cedarproject","Friesland"
"brakel","11125","Brakel","cedarproject","Gelderland"
"brandwijk","10169","Brandwijk","cedarproject","Zuid-Holland"
"breda","10154","Breda","cedarproject","Noord-Brabant"
"brederwiede","11088","Ambt Vollenhove","cedarproject","Overijssel"
"bredevoort","11295","Bredevoort","cedarproject","Gelderland"
"bree","11352","Bree","cedarproject","Limburg"
"breskens","10233","Breskens","cedarproject","Zeeland"
"breukelen","10807","Breukelen [1]","cedarproject","Utrecht"
"breukelen-nijenrode","10807","Breukelen [1]","cedarproject","Utrecht"
"breukelen-sint pieters","11149","Breukelen-Sint Pieters","cedarproject","Utrecht"
"brielle","10232","Brielle","cedarproject","Zuid-Holland"
"brigdamme","10727","Brigdamme","cedarproject","Zeeland"
"brijdorpe","10678","Brijdorpe","cedarproject","Zeeland"
"broek","11214","Broek","cedarproject","Zuid-Holland"
"broek in waterland","10289","Broek in Waterland","cedarproject","Noord-Holland"
"broek op langendijk","10955","Broek op Langendijk","cedarproject","Noord-Holland"
"broekhuizen","10856","Broekhuizen","cedarproject","Limburg"
"broeksittard","10655","Broeksittard","cedarproject","Limburg"
"bronckhorst","11159","Bronckhorst","cedarproject","Gelderland"
"brouwershaven","10030","Brouwershaven","cedarproject","Zeeland"
"bruinisse","11291","Bruinisse","cedarproject","Zeeland"
"brummen","10798","Brummen","cedarproject","Gelderland"
"brunssum","10533","Brunssum","cedarproject","Limburg"
"budel","10219","Budel","cedarproject","Noord-Brabant"
"buggenum","10857","Buggenum","cedarproject","Limburg"
"buiksloot","10961","Buiksloot","cedarproject","Noord-Holland"
"buitenpost","10199","Achtkarspelen","cedarproject","Friesland"
"bunde","10831","Bunde","cedarproject","Limburg"
"bunnik","10820","Bunnik","cedarproject","Utrecht"
"bunschoten","11343","Bunschoten","cedarproject","Utrecht"
"buren","11286","Buren","cedarproject","Gelderland"
"burgh","11000","Burgh","cedarproject","Zeeland"
"burum","10039","Burum","cedarproject","Friesland"
"bussum","10281","Bussum","cedarproject","Noord-Holland"
"buttinge en zandvoort","11443","Buttinge en Zandvoort","cedarproject","Zeeland"
"buurmalsen","10460","Buurmalsen","cedarproject","Gelderland"
"cabauw","11275","Cabauw","cedarproject","Utrecht"
"cadier","11447","Cadier","cedarproject","Limburg"
"cadier en keer","11447","Cadier","cedarproject","Limburg"
"cadzand","11002","Cadzand","cedarproject","Zeeland"
"callantsoog","10559","Callantsoog","cedarproject","Noord-Holland"
"capelle","11233","Capelle","cedarproject","Noord-Brabant"
"capelle aan den ijssel","11248","Capelle aan den IJssel","cedarproject","Zuid-Holland"
"capelle en botland","10207","Capelle en Botland","cedarproject","Zeeland"
"castricum","11287","Castricum","cedarproject","Noord-Holland"
"catharijne","11063","Catharijne","cedarproject","Utrecht"
"chaam","11433","Chaam","cedarproject","Noord-Brabant"
"charlois","10430","Charlois","cedarproject","Zuid-Holland"
"cillaarshoek","10833","Cillaarshoek","cedarproject","Zuid-Holland"
"clinge","10965","Clinge","cedarproject","Zeeland"
"coevorden","10383","Coevorden","cedarproject","Drenthe"
"colijnsplaat","10121","Colijnsplaat","cedarproject","Zeeland"
"cothen","11316","Cothen","cedarproject","Utrecht"
"cranendonck","10219","Budel","cedarproject","Noord-Brabant"
"cromstrijen","11346","Cromstrijen","cedarproject","Zuid-Holland"
"cromvoirt","10053","Cromvoirt","cedarproject","Noord-Brabant"
"cuijk","10023","Cuijk","cedarproject","Noord-Brabant"
"cuijk en sint agatha","10023","Cuijk","cedarproject","Noord-Brabant"
"cuijk en st. agatha","10023","Cuijk","cedarproject","Noord-Brabant"
"culemborg","10342","Culemborg","cedarproject","Gelderland"
"dalen","11004","Dalen","cedarproject","Drenthe"
"dalfsen","11007","Dalfsen","cedarproject","Overijssel"
"dantumadeel","10650","Dantumadeel","cedarproject","Friesland"
"dantumawoude","10650","Dantumadeel","cedarproject","Friesland"
"darthuizen","11168","Darthuizen","cedarproject","Utrecht"
"de bilt","10168","De Bilt","cedarproject","Utrecht"
"de knijpe","11018","De Knijpe","cedarproject","Friesland"
"de lier","10241","De Lier","cedarproject","Zuid-Holland"
"de marne","10180","De Marne","cedarproject","Groningen"
"de mijl","11360","De Mijl","cedarproject","Zuid-Holland"
"de rijp","11417","Graft-De Rijp","cedarproject","Noord-Holland"
"de ronde venen","11379","Mijdrecht","cedarproject","Utrecht"
"de vennip","10541","De Vennip","cedarproject","Zuid-Holland"
"de vuursche","11441","De Vuursche","cedarproject","Utrecht"
"de werken en sleeuwijk","10116","De Werken en Sleeuwijk","cedarproject","Noord-Brabant"
"de wijk","10753","De Wijk","cedarproject","Drenthe"
"de wolden","10262","De Wolden","cedarproject","Drenthe"
"deil","10057","Deil","cedarproject","Gelderland"
"delden","11400","Ambt Delden","cedarproject","Overijssel"
"delfshaven","10908","Delfshaven","cedarproject","Zuid-Holland"
"delft","10928","Delft","cedarproject","Zuid-Holland"
"delfzijl","10976","Delfzijl","cedarproject","Groningen"
"den bommel","10293","Den Bommel","cedarproject","Zuid-Holland"
"den dungen","10491","Den Dungen","cedarproject","Noord-Brabant"
"den ham","10395","Den Ham","cedarproject","Overijssel"
"den helder","10285","Den Helder","cedarproject","Noord-Holland"
"denekamp","10245","Denekamp","cedarproject","Overijssel"
"deurne","10379","Deurne","cedarproject","Noord-Brabant"
"deurne en liessel","10379","Deurne","cedarproject","Noord-Brabant"
"deursen en dennenburg","10209","Deursen en Dennenburg","cedarproject","Noord-Brabant"
"deventer","10899","Deventer","cedarproject","Overijssel"
"didam","10153","Didam","cedarproject","Gelderland"
"dieden, demen en langel","11138","Dieden, Demen en Langel","cedarproject","Noord-Brabant"
"diemen","11039","Diemen","cedarproject","Noord-Holland"
"diepenheim","10311","Diepenheim","cedarproject","Overijssel"
"diepenveen","10933","Diepenveen","cedarproject","Overijssel"
"diessen","11185","Diessen","cedarproject","Noord-Brabant"
"diever","10418","Diever","cedarproject","Drenthe"
"dinkelland","10245","Denekamp","cedarproject","Overijssel"
"dinteloord en prinsenland","11193","Dinteloord en Prinsenland","cedarproject","Noord-Brabant"
"dinther","10690","Dinther","cedarproject","Noord-Brabant"
"dinxperlo","11154","Dinxperlo","cedarproject","Gelderland"
"dirksland","11344","Dirksland","cedarproject","Zuid-Holland"
"dodewaard","10647","Dodewaard","cedarproject","Gelderland"
"doesburg","10327","Doesburg","cedarproject","Gelderland"
"doetinchem","10396","Ambt Doetinchem","cedarproject","Gelderland"
"dokkum","10198","Dokkum","cedarproject","Friesland"
"domburg","10236","Domburg","cedarproject","Zeeland"
"domburg-binnen","10236","Domburg","cedarproject","Zeeland"
"domburg-buiten","10178","Domburg-Buiten","cedarproject","Zeeland"
"dommelen","10424","Dommelen","cedarproject","Noord-Brabant"
"dongen","11412","Dongen","cedarproject","Noord-Brabant"
"dongeradeel","10198","Dokkum","cedarproject","Friesland"
"doniawerstal","10086","Doniawerstal","cedarproject","Friesland"
"doorn","10213","Doorn","cedarproject","Utrecht"
"doornspijk","10069","Doornspijk","cedarproject","Gelderland"
"doorwerth","11304","Doorwerth","cedarproject","Gelderland"
"dordrecht","11157","Dordrecht","cedarproject","Zuid-Holland"
"dorth","10061","Dorth","cedarproject","Gelderland"
"drachten","10405","Drachten","cedarproject","Friesland"
"drechterland","10642","Bangert","cedarproject","Noord-Holland"
"dreischor","10885","Dreischor","cedarproject","Zeeland"
"dreumel","11232","Dreumel","cedarproject","Gelderland"
"driebergen","10777","Driebergen","cedarproject","Utrecht"
"driebergen-rijsenburg","10777","Driebergen","cedarproject","Utrecht"
"driebruggen","10830","Driebruggen","cedarproject","Zuid-Holland"
"driel","10341","Driel","cedarproject","Gelderland"
"driewegen","11115","Driewegen","cedarproject","Zeeland"
"drimmelen","10258","Drimmelen","cedarproject","Noord-Brabant"
"drongelen","10111","Drongelen","cedarproject","Noord-Brabant"
"drongelen, haagoort, gansoijen en doeveren","10111","Drongelen","cedarproject","Noord-Brabant"
"dronrijp","11315","Dronrijp","cedarproject","Friesland"
"dronten","10210","Dronten","cedarproject","Flevoland"
"drunen","10428","Drunen","cedarproject","Noord-Brabant"
"druten","10068","Druten","cedarproject","Gelderland"
"dubbeldam","10781","Dubbeldam","cedarproject","Zuid-Holland"
"duist","10070","Duist","cedarproject","Utrecht"
"duiveland","11237","Duiveland","cedarproject","Zeeland"
"duiven","11028","Duiven","cedarproject","Gelderland"
"duivendijke","10335","Duivendijke","cedarproject","Zeeland"
"duizel en steensel","11005","Duizel en Steensel","cedarproject","Noord-Brabant"
"durgerdam","10947","Durgerdam","cedarproject","Noord-Holland"
"dussen","10261","Dussen","cedarproject","Noord-Brabant"
"dussen, munster en muilkerk","10261","Dussen","cedarproject","Noord-Brabant"
"dwingeloo","10331","Dwingeloo","cedarproject","Drenthe"
"echt","10941","Echt","cedarproject","Limburg"
"echt-susteren","10941","Echt","cedarproject","Limburg"
"echteld","10832","Echteld","cedarproject","Gelderland"
"edam","10884","Edam","cedarproject","Noord-Holland"
"edam-volendam","10884","Edam","cedarproject","Noord-Holland"
"ede","10743","Ede","cedarproject","Gelderland"
"ee","11156","Ee","cedarproject","Friesland"
"eede","11128","Eede","cedarproject","Zeeland"
"eelde","10622","Eelde","cedarproject","Drenthe"
"eemnes","10248","Eemnes","cedarproject","Utrecht"
"eemsmond","10246","Eemsmond","cedarproject","Groningen"
"eenrum","10904","Eenrum","cedarproject","Groningen"
"eersel","10741","Eersel","cedarproject","Noord-Brabant"
"eethen","10010","Eethen","cedarproject","Noord-Brabant"
"eethen, genderen en heesbeen","10010","Eethen","cedarproject","Noord-Brabant"
"egmond","10421","Egmond","cedarproject","Noord-Holland"
"egmond aan zee","10421","Egmond","cedarproject","Noord-Holland"
"egmond-binnen","10989","Egmond-Binnen","cedarproject","Noord-Holland"
"eibergen","10436","Berkelland","cedarproject","Gelderland"
"eijgelshoven","10960","Eijgelshoven","cedarproject","Limburg"
"eijsden","10314","Eijsden","cedarproject","Limburg"
"eindhoven","11298","Eindhoven","cedarproject","Noord-Brabant"
"elburg","11113","Elburg","cedarproject","Gelderland"
"elden","11082","Elden","cedarproject","Gelderland"
"elkerzee","10184","Elkerzee","cedarproject","Zeeland"
"ellemeet","10102","Ellemeet","cedarproject","Zeeland"
"ellewoutsdijk","11300","Ellewoutsdijk","cedarproject","Zeeland"
"elsloo","11187","Elsloo","cedarproject","Limburg"
"elst","11188","Elst","cedarproject","Gelderland"
"elten","10161","Elten","cedarproject","Gelderland"
"emmen","11180","Emmen","cedarproject","Drenthe"
"emmikhoven","10621","Emmikhoven","cedarproject","Noord-Brabant"
"empel en meerwijk","10295","Empel en Meerwijk","cedarproject","Noord-Brabant"
"engelen","10322","Engelen","cedarproject","Noord-Brabant"
"enkhuizen","10729","Enkhuizen","cedarproject","Noord-Holland"
"enschede","10364","Enschede","cedarproject","Overijssel"
"epe","10940","Epe","cedarproject","Gelderland"
"ermelo","10732","Ermelo","cedarproject","Gelderland"
"erp","10385","Erp","cedarproject","Noord-Brabant"
"esch","10709","Esch","cedarproject","Noord-Brabant"
"escharen","10299","Escharen","cedarproject","Noord-Brabant"
"est en opijnen","11092","Est en Opijnen","cedarproject","Gelderland"
"etersheim","11158","Etersheim","cedarproject","Noord-Holland"
"etten","10107","Etten [Ge]","cedarproject","Gelderland"
"etten en leur","10750","Etten en Leur","cedarproject","Noord-Brabant"
"etten-leur","10750","Etten en Leur","cedarproject","Noord-Brabant"
"everdingen","10638","Everdingen","cedarproject","Zuid-Holland"
"eversdijk","10920","Eversdijk","cedarproject","Zeeland"
"ewijk","10471","Ewijk","cedarproject","Gelderland"
"ezinge","10136","Ezinge","cedarproject","Groningen"
"ferwerd","11345","Ferwerd","cedarproject","Friesland"
"ferwerderadeel","11284","Ferwerderadeel","cedarproject","Friesland"
"ferwerderadiel","11284","Ferwerderadeel","cedarproject","Friesland"
"fijnaart en heijningen","10206","Fijnaart en Heijningen","cedarproject","Noord-Brabant"
"finsterwolde","10212","Finsterwolde","cedarproject","Groningen"
"fort bath","11114","Fort Bath","cedarproject","Zeeland"
"franeker","11226","Franeker","cedarproject","Friesland"
"franekeradeel","10404","Franekeradeel","cedarproject","Friesland"
"gaasterland","10036","Balk","cedarproject","Friesland"
"gaasterlân-sleat","10036","Balk","cedarproject","Friesland"
"gameren","10037","Gameren","cedarproject","Gelderland"
"gapinge","10306","Gapinge","cedarproject","Zeeland"
"garderen","10717","Garderen","cedarproject","Gelderland"
"gassel","10705","Gassel","cedarproject","Noord-Brabant"
"gasselte","11099","Gasselte","cedarproject","Drenthe"
"gastel","11448","Gastel [bij Budel]","cedarproject","Noord-Brabant"
"geertruidenberg","10101","Geertruidenberg","cedarproject","Noord-Brabant"
"geervliet","10842","Geervliet","cedarproject","Zuid-Holland"
"geesteren","10756","Geesteren","cedarproject","Gelderland"
"geffen","10370","Geffen","cedarproject","Noord-Brabant"
"geldermalsen","10881","Geldermalsen","cedarproject","Gelderland"
"geldrop","10529","Geldrop","cedarproject","Noord-Brabant"
"geldrop-mierlo","10529","Geldrop","cedarproject","Noord-Brabant"
"geleen","10048","Geleen","cedarproject","Limburg"
"gemert","10277","Gemert","cedarproject","Noord-Brabant"
"gemert-bakel","10277","Gemert","cedarproject","Noord-Brabant"
"gendringen","10260","Gendringen","cedarproject","Gelderland"
"gendt","10440","Gendt","cedarproject","Gelderland"
"genemuiden","10746","Genemuiden","cedarproject","Overijssel"
"gennep","10542","Gennep","cedarproject","Limburg"
"gerverskop","11336","Gerverskop","cedarproject","Utrecht"
"gestel en blaarthem","11269","Gestel en Blaarthem","cedarproject","Noord-Brabant"
"geulle","10530","Geulle","cedarproject","Limburg"
"giessen","10193","Giessen","cedarproject","Noord-Brabant"
"giessen-nieuwkerk","10255","Giessenburg","cedarproject","Zuid-Holland"
"giessenburg","10255","Giessenburg","cedarproject","Zuid-Holland"
"giessendam","10606","Giessendam","cedarproject","Zuid-Holland"
"giessenlanden","10255","Giessenburg","cedarproject","Zuid-Holland"
"gieten","10506","Gieten","cedarproject","Drenthe"
"giethoorn","10708","Giethoorn","cedarproject","Overijssel"
"gilze en rijen","11375","Gilze en Rijen","cedarproject","Noord-Brabant"
"ginneken en bavel","10406","Ginneken en Bavel","cedarproject","Noord-Brabant"
"goedereede","10981","Goedereede","cedarproject","Zuid-Holland"
"goes","10674","Goes","cedarproject","Zeeland"
"goidschalxoord","10123","Goidschalxoord","cedarproject","Zuid-Holland"
"goirle","10971","Goirle","cedarproject","Noord-Brabant"
"goor","10076","Goor","cedarproject","Overijssel"
"gorinchem","10942","Gorinchem","cedarproject","Zuid-Holland"
"gorredijk","10861","Gorredijk","cedarproject","Friesland"
